csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16
39615.83203125	n/a	1569414147.5282135	n/a	24285.9453125	n/a	589807139.7217407	n/a	24885.14453125	n/a	619270418.3412018	n/a	n/a	n/a	n/a	-0.1515172048	-0.0034196273	0.0211468479	-0.1379036101	0.022492118300000002	-0.010949746699999999	0.1270636205	-0.0096668295	0.0654792838	-0.050265331399999995	0.0921483454	-0.049974549900000005	0.009771926	-0.06871418879999999	0.0312170417	-0.0956995996	0.0477377488	-0.0122939594	0.1108046227	-0.1378635061	0.014096204199999999	0.0211520236	-0.1558961505	0.028070747400000002	-0.0361979287	0.055991332000000005	-0.0321560001	0.0563494985	-0.14265875390000002	0.009198917	-0.0356996535	0.052551634400000005	-0.14636597810000002	0.2117525214	-0.0197931253	0.0384768187	-0.0730262354	0.1394379003	-0.0503549897	-0.1451663118	-0.0312710325	0.0335060266	0.0237451075	0.0247636156	-0.124526515	-0.042596809900000004	0.0292740079	-0.1288944546	0.0456659646	-0.1153870501	0.0182928862	-0.0313020704	0.1938363053	-0.0138708756	0.0505644675	-0.0063292041	0.0013568418	-0.0853419	0.0841866676	-0.0413032268	0.06332346629999999	-0.026245683500000002	-0.1466170446	0.023855904100000002	-0.055393510099999994	0.0030866523999999998	-0.032623068399999997	0.1443091729	-0.10994236939999999	0.1402188892	-0.0612899721	0.048536370499999995	-0.1461271023	0.0725515823	-0.0091244948	0.0464219323	-0.0081094389	0.1438103069	-0.079125106	0.1226415853	0.0097264832	0.010868986899999999	0.111798011	0.11178184769999999	0.1117549107	0.1117172025	0.0187248	n/a	0.00035061813504000004	n/a	-0.06477999999999999	n/a	n/a	0.0041964483999999995	0.0253312	n/a	n/a	0.0006416696934400001	-0.000814041	n/a	n/a	6.626627496810001e-07	-0.0	n/a	0.0	n/a	-0.00029397	n/a	8.64183609e-08	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39861.2890625	245.45703125	1588922365.7241821	60249.15419006348	24312.154296875	26.208984375	591080846.5550575	686.9108619689941	24991.34375	106.19921875	624567262.4306642	11278.274063110352	1.034651	16.845919	0.09953889	-0.12116520970000001	-0.0255641881	-0.0227371404	-0.0962509401	-0.0129898893	-0.0590154175	0.011404402099999999	-0.0327089167	-0.0184030704	-0.1474198336	0.0682621624	0.22154336089999999	0.0066183854	-0.020217959599999998	0.1094582806	-0.0500688588	-0.043553649800000004	-0.07465863910000001	0.0130990136	-0.0170779006	0.1217289232	0.1504097077	0.1035102309	-0.0079869727	-0.1526809307	0.0734703161	0.0245603941	-0.024164136699999998	0.08686504449999999	-0.0578157269	-0.07770756150000001	-0.0711712636	-0.0120391328	0.0194169467	0.2344440871	0.0465739853	-0.1492274574	0.0377814649	0.0104887991	-0.1323871199	0.029966162299999998	0.0657647468	-0.023208582400000004	0.0202226704	-0.0886711174	0.0243466731	-0.045529869400000006	-0.027684927	0.1477631416	0.0060136805	-0.1069005785	0.0888926261	0.0515104584	-0.1306752419	-0.008807516999999999	0.0448831713	-0.0225561256	0.0190757055	0.09313906720000001	-0.0177060687	-0.0812372838	-0.0346438775	0.1200609017	-0.0092510248	-0.196541524	-0.0025280182	-0.014613709099999999	-0.0259482985	0.09974648720000001	-0.0579382903	0.0274139387	0.0644724346	0.0026424329	0.030334244700000002	-0.1373855595	0.0400769442	0.0888019159	-0.0188569869	-0.1184819975	-0.0846242432	-0.11118650199999999	0.050403253700000004	0.1117549107	0.11160948820000001	0.1113672575	0.11102842880000001	0.0119012	-0.006823599999999999	0.00014163856144000002	4.6561516959999985e-05	-0.100215	-0.035435000000000015	0.0012556392250000006	0.010043046225000001	0.00334756	-0.02198364	0.0004832804276496001	1.12061579536e-05	-0.00040754	0.000406501	1.6524306300100004e-07	1.660888516e-07	0.000115405	0.000115405	1.3318314025e-08	1.3318314025e-08	-0.000109943	0.000184027	1.2087463248999997e-08	3.3865936729000004e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39795.9453125	-65.34375	1583717263.3154907	4269.8056640625	24378.267578125	66.11328125	594299930.1106607	4370.9659576416025	25089.396484375	98.052734375	629477815.9501686	9614.338718414308	1.2779280000000002	20.80689	0.05179913	-0.0264569469	-0.0059213464	-0.1236696884	0.018044706299999998	0.09189650199999999	0.0205911	0.057478889299999995	0.0379402986	0.0189519217	-0.09652885230000001	0.1144578841	0.23288946149999998	-0.014658966399999999	-0.0898271252	0.0337838155	0.10989847119999999	0.0446414635	0.1171364075	-0.1169026192	-0.0495699752	0.0766055954	0.0073924511	-0.025269228900000003	0.1565361673	-0.0223906873	-0.06194700490000001	-0.0920505823	0.1330680777	-0.1319705797	0.0379184025	0.09044120300000001	-0.0542219834	-0.0706770249	-0.0155906058	-0.09270364519999999	-0.0249505277	0.044902976	0.0195044494	0.043964982300000004	-0.0362424681	0.0972207739	0.1116511861	0.09085616699999999	0.053387475	0.0399116654	-0.08705942119999999	0.0333786893	-0.011839083200000001	0.0774360122	0.0341942042	-0.1551572674	0.065443746	0.008958650600000001	-0.21751012190000002	-0.1117151983	0.0132282148	0.1183476631	-0.0536595468	0.08818139960000003	-0.0050834846	0.0432981474	-0.0143185817	0.0614224582	0.0269479459	0.0205065379	0.0832032963	0.0488086074	0.09736672519999999	-0.20615249600000002	0.0476626507	0.050458376299999996	-0.0274320829	0.023361322599999998	0.11105713210000001	0.044679736799999994	-0.011877775600000001	-0.0654734945	0.0715635194	-0.0525017043	-0.024038087599999997	0.0349044265	-0.10940893970000001	0.11166872679999999	0.111265035	0.1105932959	0.1096551279	0.00912436	-0.0027768400000000013	8.32539454096e-05	7.710840385600003e-06	-0.0956996	0.004515399999999989	2.03888371599999e-05	0.00915841344016	0.00323182	-0.00011574000000000005	1.3395747600000007e-08	1.04446605124e-05	-0.00122442	-0.0008168799999999999	6.672929343999998e-07	1.4992043364e-06	0.000140421	2.501600000000001e-05	1.9718057241e-08	6.258002560000002e-10	-0.00015587	-4.5927000000000016e-05	2.42954569e-08	2.1092893290000027e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39921.4921875	125.546875	1593725538.4766235	15762.017822265625	24392.404296875	14.13671875	594989387.382206	199.8468170166016	25126.263671875	36.8671875	631329126.1085854	1359.1895141601562	1.065238	17.343929	0.10211296	0.040428368900000004	0.0536419197	-0.0622132846	0.0563356713	0.0109518124	0.0357175461	-0.0161984555	-0.0139068215	0.058751830199999994	-0.1597095046	0.1237964675	-0.048625798	-0.021991223799999998	-0.0206944593	0.0456442292	0.03263635	0.0842923723	0.0394034386	-0.0495617978	0.0122607562	0.033399751299999995	-0.10601983890000001	-0.033878491000000004	0.0009224841	-0.14951761019999998	0.08833737	0.0736068751	0.062162744400000004	-0.0458479675	0.022147897799999997	0.09109212380000001	-0.0324403446	-0.0680163	-0.0398267249	0.0708845675	-0.0439862817	0.014589844099999999	-0.042475413200000006	0.0010344438	0.0450224301	0.018609483200000002	0.0104826905	0.0879079285	0.1802110625	0.06114786360000001	0.009119655400000001	0.0422128853	0.028079487799999997	0.13504990279999998	-0.09188283859999999	0.0018038948000000002	0.036953830099999994	0.033464591099999996	-0.06691171559999999	0.0039426419	-0.0278020859	0.120706412	0.0008432449	-0.0076361225	0.044508297800000006	-0.032113693900000004	-0.030295091200000002	-0.09860292550000001	-0.1176398372	-0.12014673460000001	-0.049380248200000004	-0.0404383187	0.0277807083	0.0048339531	0.0688242155	0.058036002	0.0065447467	0.050760873899999996	-0.0097290903	-0.0766807563	-0.0175721719	0.0014671941	-0.038311415	0.0695935492	0.008846178100000001	0.0341858135	-0.1642840885	0.1115394925	0.1107490191	0.1094357105	0.1076057667	0.0142905	0.00516614	0.00020421839025	2.6689002499599995e-05	-0.103358	-0.007658399999999981	5.865109055999972e-05	0.010682876163999998	-0.0281905	-0.03142232	0.0009873621941824	0.0007947042902499997	-0.000221689	0.001002731	1.005469458361e-06	4.9146012720999996e-08	-0.0	-0.000140421	0.0	1.9718057241e-08	-0.00017004	-1.4169999999999978e-05	2.8913601599999995e-08	2.0078889999999945e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39959.6953125	38.203125	1596777249.4678345	1459.478759765625	24344.431640625	-47.97265625	592651351.9050636	2301.375747680664	25076.3671875	-49.896484375	628824191.3223268	2489.659152984619	1.179637	19.206545	0.14404654460000002	0.0251629943	0.1563856135	0.0266032323	-0.0270995531	-0.08594829179999999	0.0326020846	-0.1000390114	-0.051214531699999996	0.10445771150000001	-0.0270130232	0.08338409320000001	0.00694227	0.0876565369	0.0484992105	0.0156158627	-0.1381452616	-0.0626028208	0.024499778700000002	-0.0856347577	-0.0264654825	0.0820350146	0.0294071967	0.0656783974	-0.11115636640000001	-0.0247803091	-0.0204831434	0.0753515095	-0.0007390649000000001	-0.0195783914	-0.09160594119999999	0.0187122454	0.09416893859999999	0.0413729811	-0.0350652038	-0.0995818292	-0.1033041264	0.09436921470000001	0.0244637869	0.0608107738	0.06100170980000001	-0.035758311800000005	0.0520411692	0.1317043695	-0.0853611453	-0.034535408	0.09610656949999999	0.009622191	0.0731114043	0.0678751011	-0.15259912890000002	-0.0311334344	-0.031628270699999995	-0.046855296399999996	-0.030946935499999998	-0.0331360307	-0.0779600119	-0.1644593109	-0.0573272765	0.0033025021	-0.0090805644	-0.0799999996	-0.0401788747	0.0380884501	-0.0952169348	-0.0099282595	-0.0296922284	-0.012632476799999999	-0.005102237	-0.0103602882	-0.08393397400000001	-0.035169472599999994	-0.0781054197	-0.021855928700000003	-0.0186709702	-0.0160582048	-0.09850093720000001	-0.1228059315	0.1004005542	0.1549643428	0.012721343000000001	-0.0457944424	0.0318096923	0.1113672575	0.1100622363	0.1078985167	0.1048929802	1.20554e-05	-0.0142784446	1.4533266916e-10	0.00020387398019526917	-0.0349563	0.06840169999999997	0.004678792562889998	0.00122194290969	-0.0261922	0.0019982999999999945	3.993202889999978e-06	0.0006860313408400001	-0.00100237	-0.0007806810000000001	6.094628237610001e-07	1.0047456169e-06	0.000236641	0.000236641	5.599896288099999e-08	5.599896288099999e-08	0.0	0.00017004	0.0	2.8913601599999995e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39766.6875	-193.0078125	1581389434.7226562	37252.01568603516	24329.63671875	-14.794921875	591931222.8663483	218.88971328735352	25045.951171875	-30.416015625	627299670.1039468	925.134006500244	1.233453	20.082766	0.06077079030000001	-0.0632867674	-0.0238330888	-0.0663387353	-0.0434878212	0.0166177896	-0.0065115065	0.0067837596	-0.0120119699	-0.0307812914	-0.0436199154	-0.0128011151	0.0330318547	0.010225755500000001	-0.055905816399999995	-0.0844846983	0.1091604365	0.0847667207	0.0473515171	-0.1889451311	0.12004345470000001	0.0019202379	-0.0462949172	-0.1106583852	-0.2412188498	0.1264878425	0.0791536845	-0.058484895499999995	-0.0610773252	-0.0664610066	0.1204293132	0.0053242611	0.14737573710000001	-0.0522716036	0.0113746177	0.058217022599999994	-0.023725845899999997	-0.029161302099999998	0.14282563480000002	0.0020051166	-0.0328112227	0.043801935199999996	0.09511284980000001	-0.027320752400000002	0.035261779300000004	-0.0379257005	-0.0108558408	-0.0167074034	-0.0091051006	0.036187167	0.097136565	0.0057955193	-0.0410546399	-0.060203445700000004	-0.0109346752	-0.0490118122	-0.11415750529999999	0.0947116781	-0.012847208999999998	-0.0908485341	0.0792216679	0.0675915943	-0.2938777006	0.021930119799999998	0.0184704054	0.1335387611	-0.0406767992	-0.072957627	0.0030896489000000003	0.0149790723	0.17700728219999998	0.0106427546	-0.0407885554	0.0199234123	-0.052186306200000004	-0.0363697511	0.13477416820000002	0.091230209	0.0594589814	0.0183714684	0.0002444568	-0.0221333043	-0.16541408289999998	0.1111520884	0.10920574539999996	0.1059870468	0.1015334935	2.17957e-05	9.740300000000002e-06	4.750525384900001e-10	9.487344409000006e-11	-0.044332300000000005	-0.009376000000000002	8.790937600000003e-05	0.0019653528232900005	-0.0127695	0.013422700000000004	0.00018016887529000007	0.00016306013025	-0.000483393	0.000518977	2.69337126529e-07	2.3366879244900003e-07	0.000144327	-9.231399999999996e-05	2.0830282929e-08	8.521874595999993e-09	-0.000147956	-0.000147956	2.1890977936e-08	2.1890977936e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39825.421875	58.734375	1586064227.5217285	3449.726806640625	24311.97265625	-17.6640625	591072014.4382478	312.01910400390625	25168.666015625	122.71484375	633461749.0060768	15058.932876586914	1.431502	23.307344	0.12484185429999994	-0.028876461099999997	-0.0937754851	0.0463027963	-0.0844218709	0.045984215499999995	-0.10746559160000001	0.005329959699999999	0.0080539572	0.0218269889	-0.0265692352	-0.0125628183	-0.0551862516	-0.029998568399999998	0.15262712609999998	0.0819830919	0.1289266182	0.0358534697	0.1790620745	-0.18878328309999998	0.0174525345	-0.020059729	0.047038091399999996	-0.0428900841	0.1047665966	0.0660448872	-0.0005694371	0.1846856266	0.0628499754	0.07349656980000001	0.0048205338	-0.0735750179	-0.0732471721	0.047088816500000005	-0.1985021795	0.1285023417	-0.0857657092	-0.1458898196	-0.226676367	0.0128139839	-0.08573208539999999	0.0680386473	-0.1033968101	0.030925670099999997	0.0656574811	-0.081246339	-0.026149771000000002	-0.0889973543	-0.032691636600000004	0.0372727291	-0.0122472188	0.0386624722	0.021392871600000002	-0.1445053478	0.0005079675	-0.059762463200000004	0.060917153099999996	0.1056902848	-0.1717245297	-0.1272271981	0.09908480189999999	-0.0004253735	-0.1094295533	0.0544547402	0.09615970380000001	-0.131341243	-0.1170999309	0.17547517780000002	-0.10110646449999999	-0.1012879991	-0.1465777621	0.025420902000000002	-0.027879616	0.0841970181	0.0729452188	-0.12677659689999998	-0.03068207	0.0374704758	-0.20596125839999999	-0.1269983176	-0.0416071791	-0.0657639808	-0.0215871188	0.11089406800000001	0.10818086730000001	0.1037079311	0.09754801910000001	0.0109191	0.010897304299999999	0.00011922674481000002	0.0001187512410067985	-0.0126081	0.031724200000000015	0.0010064248656400006	0.00015896418561000002	-0.0539375	-0.041168	0.0016948042239999994	0.00290925390625	4.5371e-05	0.000528764	2.7959136769600005e-07	2.0585276410000003e-09	-0.0	-0.000144327	0.0	2.0830282929e-08	0.0	0.000147956	0.0	2.1890977936e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39962.97265625	137.55078125	1597039183.5241852	18920.217422485348	24306.046875	-5.92578125	590783914.6896973	35.114883422851555	25194.294921875	25.62890625	634752496.6104164	656.8408355712892	1.155938	18.820675	0.08204589017283201	0.0596082774	-0.0101485336	-0.006807999499999999	-0.0772082231	0.0412204278	-0.0051464277	-0.0869895842	-0.1243528183	-0.0096293555	-0.0493513645	-0.054988195700000006	0.030268518799999998	-0.0466735851	0.1854589343	0.07323026740000001	-0.027858313	0.0573278949	0.0846492259	0.010603239399999999	0.051144515099999996	0.0445311121	0.0204617518	0.10458344730000001	-0.1187633617	0.0159031349	0.0360920629	-0.0764875614	-0.0275608023	0.10945312550000001	-0.0560198402	-0.040228056899999996	0.0443012654	0.0959547044	-0.0184543385	-0.180545332	-0.1082568011	0.0491257624	-0.10810323320000001	-0.0736154927	0.04713572110000002	0.024568090299999998	-0.0001467242	-0.0127372778	-0.0236080106	-0.0986212428	-0.0469017387	-0.0763114218	0.0506399076	0.1173970316	-0.026521589300000002	-0.010504360400000001	0.0822419228	-0.11086769449999999	0.037613810899999996	-0.037335331400000005	-0.0205306474	0.0075371111	-0.0359696151	-0.0759519288	0.1218476658	-0.12882391880000002	-0.0032618221	0.08219280129999999	-0.0209659902	0.0315987861	0.0757541177	-0.060046028	0.007505471600000002	0.10327945460000001	-0.0309054892	0.0805520229	-0.0093901816	-0.0228342612	-0.1947301286	0.1618201607	-0.0843560849	-0.1312267525	-0.050394365499999996	0.06250974990000001	0.0673204595	0.036932163399999995	0.0688297668	0.1105932959	0.10698918210000001	0.10106907550000001	0.09296112869999999	-1.7283199999999998e-10	-0.010919100172832	2.9870900223999986e-20	0.00011922674858433985	0.00358879	0.016196890000000002	0.0002623392456721001	1.28794136641e-05	-0.0451989	0.008738600000000001	7.636312995999997e-05	0.00204294056121	-0.000878455	-0.0009238260000000001	8.534544782760001e-07	7.71683187025e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
39973.08203125	10.109375	1597847287.0770414	102.199462890625	24335.30859375	29.26171875	592207244.3530426	856.2481842041016	25108.552734375	-85.7421875	630439420.4148903	7351.722717285156	1.1419629999999998	18.59314	0.101053803357168	0.0505845596	-0.0020769658	0.009297819799999999	0.0060154252000000005	-0.0030155487	0.0204972417	-0.0160399564	-0.0756782385	-0.080969607	0.0660404842	-0.0248988809	0.0879421148	-0.031697058	0.0049665359	0.1049768521	-0.1333213808	0.0082940026	0.0209625014	0.1115980301	0.0335316784	-0.0208184493	-0.0679288378	-0.056854876299999996	-0.031172701	0.0255765298	0.032271298	0.0385065899	0.06981564	0.0160665851	0.0022970611	-0.030574866099999997	-0.048757721799999994	0.1719442238	0.0604089304	-0.06778184400000001	-0.0163994827	0.0879831873	0.047288860499999995	0.0685172214	0.0642577282	0.002186355	0.0003849112	-0.0872926936	-0.0818532988	-0.0138968087	-0.018203071499999997	-0.019036373	0.0037973487	-0.0291213909	0.010333435699999999	-0.0456776999	0.0888736239	0.0689013012	-0.0773460128	-0.0029782425	-0.0047243391	-0.051739874000000005	0.0614567406	-0.0449279825	0.0382953191	-0.025130146699999998	0.0695117764	-0.11607857449999999	-0.0078723501	0.01611717	-0.0670395568	0.0066919812	0.0056035532999999995	0.0053687058999999995	-0.0740812602	0.012252088799999998	0.0931981219	0.08514791029999999	-0.06732710410000001	0.1216115666	0.0284485789	-0.0712020347	0.053113350700000006	0.1237181226	-0.0547025559	0.0282903755	-0.0024089976	0.1102498879	0.1056325273	0.0980796336	0.08780110210000001	-3.79853e-06	-3.798357168e-06	1.4428830160899999e-11	1.442751717569698e-11	-0.0511595	-0.054748290000000005	0.0029973752579241005	0.002617294440250001	-0.0299332	0.015265700000000002	0.00023304159649000002	0.00089599646224	-0.000686781	0.000191674	3.673892227599999e-08	4.71668141961e-07	9.48963e-05	9.48963e-05	9.005307753689998e-09	9.005307753689998e-09	-0.00033415	-0.00033415	1.1165622250000003e-07	1.1165622250000003e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40018.68359375	45.6015625	1601495036.5766757	2079.5025024414067	24342.734375	7.42578125	592568716.8518066	55.14222717285156	25058.236328125	-50.31640625	627915207.8761635	2531.740737915039	0.932465	15.182154	0.09386675403	0.0312786737	0.0151429029	0.08868014119999999	0.0153986756	-0.0575384442	0.0013548523999999998	-0.0022261624	-0.0434234115	-0.0348570585	0.0424570871	-0.0845180478	0.044180604400000004	0.027793380299999997	0.028680707599999997	0.0990795617	-0.046984118	-0.048087821100000004	0.056350945199999995	0.2182505132	-0.026545854100000002	-0.2705998743	0.0497699826	-0.012151486100000001	-0.0227078734	-0.0846114713	0.0018042178	0.0755291919	0.0010527639	0.1549223838	0.050920353200000004	-0.0818105016	-0.0142612425	0.057768221900000014	0.0276444318	0.0289566463	-0.0653130516	0.0135356031	0.0076561674	-0.025994348599999998	0.0604130607	-0.0609531353	-0.0701292437	-0.107590964	-0.0543444895	-0.0034807962	0.028261529	-0.0138093585	-0.0204787523	-0.0251362651	0.010402841999999999	-0.047702935700000004	-0.0358610421	0.0496959295	0.0231383607	0.0262244452	0.1543804597	0.0137685681	0.0070523289	-0.1604997688	-0.0983405926	0.0256566197	0.1644780147	-0.0452998037	-0.0295338968	-0.1238808925	-0.009302468199999999	0.09258036789999999	-0.0386712682	0.18151267489999998	0.010679751699999998	0.09042510470000001	0.0526816867	0.0329589587	-0.1594560787	0.044062027000000004	0.0215699081	-0.0208641094	-0.0497523178	0.0863137246	0.0531200379	0.047495019900000005	0.0453478314	0.1098639765	0.10411299480000001	0.094749975	0.0820997524	1.18605e-05	1.565903e-05	1.4067146025e-10	2.4520522054089995e-10	-0.0944992	-0.04333969999999999	0.0018783295960899987	0.008930098800639998	-0.0451725	-0.015239300000000002	0.0002322362644900001	0.0020405547562500005	-4.303310000000001e-05	0.0006437479	4.1441135875441007e-07	1.8518476956100006e-09	8.53603e-05	-9.535999999999983e-06	7.286380816090001e-09	9.093529599999971e-11	-0.000281992	5.215800000000001e-05	7.9519488064e-08	2.720456964000001e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
