onset	duration	trial_type	stop_signal_delay	response_time	response_accuracy	response_hand	sex
0.0748	0.5083	go	n/a	0.926	correct	right	female
4.0831	0.5083	go	n/a	0.768	correct	right	female
8.0913	0.5084	go	n/a	0.966	correct	right	female
13.0913	0.5083	go	n/a	0.889	correct	right	female
17.0996	0.5083	go	n/a	0.925	correct	left	male
20.6079	0.5083	go	n/a	1.089	correct	left	male
25.1161	0.5084	go	n/a	0.941	correct	left	male
29.1244	0.5084	succesful_stop	0.2	n/a	n/a	right	female
33.1327	0.5084	go	n/a	0.814	correct	left	male
36.641	0.5083	go	n/a	1.183	correct	right	female
41.1493	0.5083	succesful_stop	0.25	n/a	n/a	right	male
44.6576	0.5083	succesful_stop	0.3	n/a	n/a	right	female
49.1659	0.5083	go	n/a	0.747	correct	right	female
53.1742	0.5083	go	n/a	0.833	correct	left	male
60.6907	0.5084	go	n/a	0.968	correct	left	male
64.699	0.5084	succesful_stop	0.35	n/a	n/a	right	male
69.2073	0.5083	succesful_stop	0.4	n/a	n/a	right	male
73.7156	0.5083	go	n/a	0.799	correct	right	female
76.7239	0.5083	go	n/a	0.91	correct	right	female
84.2488	0.5083	go	n/a	0.8	correct	right	female
88.2571	0.5083	go	n/a	0.723	correct	right	female
92.757	0.5084	go	n/a	0.837	correct	left	male
97.7653	0.5083	go	n/a	0.968	correct	left	male
101.2736	0.5083	go	n/a	0.959	correct	right	female
105.2819	0.5083	succesful_stop	0.45	n/a	n/a	right	female
108.7902	0.5083	go	n/a	0.718	correct	right	female
113.2985	0.5083	go	n/a	0.742	correct	left	male
117.3068	0.5083	succesful_stop	0.5	n/a	n/a	right	male
120.8151	0.5083	go	n/a	0.703	correct	right	female
125.3233	0.5084	succesful_stop	0.55	n/a	n/a	right	male
128.34	0.5083	go	n/a	1.027	correct	left	male
133.3399	0.5083	go	n/a	0.955	correct	right	female
137.8482	0.5083	go	n/a	0.943	correct	right	female
141.8565	0.5083	go	n/a	1.218	correct	right	female
148.3814	0.5083	go	n/a	0.739	correct	right	female
152.3897	0.5083	unsuccesful_stop	0.6	0.769	correct	right	female
156.398	0.5083	go	n/a	1.207	correct	right	female
160.8979	0.5084	go	n/a	1.101	correct	right	female
169.9145	0.5083	succesful_stop	0.65	n/a	n/a	right	female
172.9228	0.5083	go	n/a	0.961	correct	left	male
177.9311	0.5083	go	n/a	1.124	correct	left	male
181.9394	0.5083	go	n/a	0.833	correct	left	male
185.4477	0.5083	go	n/a	1.271	correct	left	male
189.4559	0.5084	go	n/a	1.316	correct	right	female
193.9642	0.5084	go	n/a	1.035	correct	left	male
197.9725	0.5083	go	n/a	1.015	correct	left	male
200.4892	0.5083	go	n/a	1.26	correct	left	male
204.9891	0.5083	go	n/a	0.916	correct	right	female
209.9974	0.5083	go	n/a	1.059	correct	right	female
213.0057	0.5083	go	n/a	1.382	correct	right	female
217.514	0.5083	succesful_stop	0.7	n/a	n/a	right	male
220.5306	0.5083	go	n/a	1.383	correct	right	female
225.5305	0.5084	go	n/a	0.894	correct	right	female
232.5555	0.5083	succesful_stop	0.75	n/a	n/a	right	female
236.5637	0.5084	succesful_stop	0.8	n/a	n/a	right	male
244.5803	0.5083	go	n/a	1.033	correct	left	male
249.0803	0.5083	go	n/a	1.099	correct	left	male
254.0885	0.5084	succesful_stop	0.85	n/a	n/a	right	male
256.6052	0.5083	succesful_stop	0.9	n/a	n/a	right	female
262.1051	0.5083	go	n/a	1.037	correct	left	male
264.6218	0.5083	go	n/a	1.314	correct	left	male
270.1217	0.5083	go	n/a	1.222	correct	left	male
272.6383	0.5084	go	n/a	1.294	correct	left	male
281.6466	0.5083	unsuccesful_stop	0.95	1.039	correct	right	female
284.6632	0.5083	go	n/a	1.092	correct	left	male
289.6631	0.5084	succesful_stop	1.0	n/a	n/a	right	male
294.1714	0.5083	go	n/a	1.827	correct	right	female
297.1797	0.5083	go	n/a	1.583	correct	right	female
302.188	0.5083	go	n/a	1.514	correct	right	female
305.6963	0.5083	go	n/a	1.639	correct	right	female
308.7129	0.5083	go	n/a	1.799	correct	left	male
317.2212	0.5083	go	n/a	1.778	correct	left	male
325.2377	0.5084	succesful_stop	1.05	n/a	n/a	right	female
330.246	0.5083	go	n/a	1.166	correct	right	female
337.7626	0.5083	go	n/a	1.222	correct	left	male
340.7792	0.5083	go	n/a	1.378	correct	left	male
346.2792	0.5083	succesful_stop	1.1	n/a	n/a	right	male
349.7874	0.5084	go	n/a	1.478	correct	right	female
353.2957	0.5084	succesful_stop	1.15	n/a	n/a	right	male
360.8207	0.5083	unsuccesful_stop	1.2	1.194	incorrect	left	female
364.8289	0.5084	go	n/a	1.341	correct	left	male
373.3372	0.5083	succesful_stop	1.25	n/a	n/a	right	female
377.8455	0.5083	succesful_stop	1.3	n/a	n/a	right	female
382.3537	0.5084	go	n/a	1.812	correct	right	female
385.362	0.5084	succesful_stop	1.35	n/a	n/a	right	male
389.3703	0.5084	go	n/a	1.668	correct	left	male
398.3869	0.5083	unsuccesful_stop	1.4	1.483	correct	left	male
401.8952	0.5083	go	n/a	2.049	correct	right	female
406.4035	0.5083	succesful_stop	1.45	n/a	n/a	right	female
409.9118	0.5083	succesful_stop	1.5	n/a	n/a	right	female
414.42	0.5084	succesful_stop	1.55	n/a	n/a	right	male
416.9367	0.5083	go	n/a	2.001	correct	right	female
421.9366	0.5084	succesful_stop	1.6	n/a	n/a	right	female
424.9533	0.5083	go	n/a	2.17	correct	left	male
428.9615	0.5084	go	n/a	2.327	correct	left	male
433.9615	0.5083	go	n/a	1.993	correct	right	female
437.9698	0.5083	go	n/a	2.035	correct	left	male
442.4781	0.5083	go	n/a	2.415	correct	left	male
445.9863	0.5084	go	n/a	2.352	correct	right	female
449.4946	0.5084	go	n/a	1.951	correct	right	female
