name	volume	thickness	area	meancurv
Left-G&S_frontomargin	2216.0	2.205	869.0	0.151
Left-G&S_occipital_inf	3983.0	2.719	1226.0	0.142
Left-G&S_paracentral	3201.0	2.576	1005.0	0.11800000000000001
Left-G&S_subcentral	3225.0	2.89	955.0	0.12
Left-G&S_transv_frontopol	1791.0	2.662	505.0	0.146
Left-G&S_cingul-Ant	4548.0	2.6919999999999997	1591.0	0.11
Left-G&S_cingul-Mid-Ant	2458.0	2.593	866.0	0.107
Left-G&S_cingul-Mid-Post	2895.0	2.784	966.0	0.139
Left-G_cingul-Post-dorsal	1378.0	3.008	336.0	0.171
Left-G_cingul-Post-ventral	622.0	2.707	217.0	0.139
Left-G_cuneus	2677.0	1.7830000000000001	1385.0	0.161
Left-G_front_inf-Opercular	2965.0	2.84	758.0	0.13
Left-G_front_inf-Orbital	1263.0	2.9939999999999998	277.0	0.138
Left-G_front_inf-Triangul	2397.0	2.7760000000000002	628.0	0.136
Left-G_front_middle	11137.0	2.642	3187.0	0.146
Left-G_front_sup	17155.0	2.9530000000000003	4589.0	0.131
Left-G_Ins_lg&S_cent_ins	1815.0	3.662	448.0	0.136
Left-G_insular_short	2886.0	3.8689999999999998	500.0	0.11599999999999999
Left-G_occipital_middle	4851.0	2.52	1456.0	0.147
Left-G_occipital_sup	2265.0	2.198	901.0	0.145
Left-G_oc-temp_lat-fusifor	3835.0	3.073	951.0	0.151
Left-G_oc-temp_med-Lingual	4124.0	2.003	1842.0	0.154
Left-G_oc-temp_med-Parahip	4428.0	3.315	978.0	0.11800000000000001
Left-G_orbital	6743.0	2.9939999999999998	1601.0	0.154
Left-G_pariet_inf-Angular	6243.0	2.821	1691.0	0.14300000000000002
Left-G_pariet_inf-Supramar	6333.0	2.773	1822.0	0.13699999999999998
Left-G_parietal_sup	4601.0	2.403	1504.0	0.142
Left-G_postcentral	3856.0	2.379	1261.0	0.122
Left-G_precentral	6304.0	3.0180000000000002	1543.0	0.109
Left-G_precuneus	4823.0	2.5269999999999997	1525.0	0.145
Left-G_rectus	2559.0	2.759	668.0	0.124
Left-G_subcallosal	838.0	2.498	298.0	0.098
Left-G_temp_sup-G_T_transv	1287.0	2.628	380.0	0.092
Left-G_temp_sup-Lateral	5723.0	3.043	1322.0	0.142
Left-G_temp_sup-Plan_polar	1636.0	3.218	437.0	0.07400000000000001
Left-G_temp_sup-Plan_tempo	2297.0	2.679	690.0	0.109
Left-G_temporal_inf	5624.0	2.8569999999999998	1451.0	0.155
Left-G_temporal_middle	7745.0	3.025	1831.0	0.158
Left-Lat_Fis-ant-Horizont	360.0	2.036	188.0	0.09300000000000001
Left-Lat_Fis-ant-Vertical	560.0	2.128	280.0	0.11
Left-Lat_Fis-post	1601.0	2.4730000000000003	805.0	0.107
Left-Pole_occipital	3514.0	2.104	1506.0	0.153
Left-Pole_temporal	5895.0	3.4019999999999997	1160.0	0.149
Left-S_calcarine	2369.0	2.021	1415.0	0.125
Left-S_central	3590.0	2.046	1927.0	0.094
Left-S_cingul-Marginalis	1379.0	2.333	669.0	0.1
Left-S_circular_insula_ant	972.0	3.022	380.0	0.106
Left-S_circular_insula_inf	2320.0	2.891	971.0	0.081
Left-S_circular_insula_sup	2313.0	2.3169999999999997	1154.0	0.09699999999999999
Left-S_collat_transv_ant	1781.0	2.46	722.0	0.105
Left-S_collat_transv_post	498.0	2.153	284.0	0.147
Left-S_front_inf	2668.0	2.004	1370.0	0.095
Left-S_front_middle	2031.0	2.063	1039.0	0.109
Left-S_front_sup	5275.0	2.434	2136.0	0.10099999999999999
Left-S_interm_prim-Jensen	508.0	2.3369999999999997	241.0	0.134
Left-S_intrapariet&P_trans	3780.0	2.21	1848.0	0.1
Left-S_oc_middle&Lunatus	1270.0	1.9469999999999998	776.0	0.11900000000000001
Left-S_oc_sup&transversal	1821.0	2.334	897.0	0.10300000000000001
Left-S_occipital_ant	1147.0	2.405	493.0	0.107
Left-S_oc-temp_lat	1484.0	2.364	625.0	0.124
Left-S_oc-temp_med&Lingual	2772.0	2.44	1238.0	0.09699999999999999
Left-S_orbital_lateral	552.0	2.6830000000000003	213.0	0.132
Left-S_orbital_med-olfact	1121.0	2.565	480.0	0.105
Left-S_orbital-H_Shaped	2336.0	2.43	924.0	0.129
Left-S_parieto_occipital	2328.0	2.112	1161.0	0.114
Left-S_pericallosal	1967.0	2.7260000000000004	899.0	0.125
Left-S_postcentral	3855.0	2.401	1726.0	0.114
Left-S_precentral-inf-part	2686.0	2.414	1193.0	0.098
Left-S_precentral-sup-part	2029.0	2.523	870.0	0.099
Left-S_suborbital	1323.0	2.677	551.0	0.10800000000000001
Left-S_subparietal	1115.0	2.753	472.0	0.12
Left-S_temporal_inf	2337.0	2.682	910.0	0.13
Left-S_temporal_sup	9411.0	2.512	3801.0	0.109
Left-S_temporal_transverse	595.0	2.041	340.0	0.094
BrainSegVolNotVent	1053916.0	1053916.0	80126.3	1053916.0
eTIV	1228805.663373	1228805.663373	1053916.0	1228805.663373
