onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0138	2.9749	control	2.9749	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
15.022	3.1274999999999995	control	3.1274999999999995	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
20.0303	4.545099999999998	control	4.545099999999998	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
25.0385	2.1068999999999996	control	2.1068999999999996	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
30.0468	3.3694000000000024	control	3.3694000000000024	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
35.055	4.9879999999999995	control	4.9879999999999995	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
40.0633	2.1077000000000012	emotion	2.1077000000000012	right	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
45.0715	2.2113999999999976	emotion	2.2113999999999976	left	incorrect	n/a	male	black	black	black	anger
50.0798	1.541000000000004	emotion	1.541000000000004	left	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
55.088	1.4446000000000012	emotion	1.4446000000000012	right	incorrect	n/a	male	black	black	black	fear
60.0963	2.593200000000003	emotion	2.593200000000003	right	incorrect	n/a	male	caucasian	caucasian	caucasian	anger
65.1045	1.4209000000000032	emotion	1.4209000000000032	left	incorrect	n/a	female	asian	black	asian	fear
70.1128	2.4335000000000093	control	2.4335000000000093	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
75.121	1.6092000000000013	control	1.6092000000000013	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
80.1293	1.8427999999999969	control	1.8427999999999969	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
85.1375	1.3134000000000015	control	1.3134000000000015	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
90.1457	2.964100000000002	control	2.964100000000002	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
95.154	2.5927000000000078	control	2.5927000000000078	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
100.1622	2.308400000000006	emotion	2.308400000000006	left	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
105.1705	1.8979999999999961	emotion	1.8979999999999961	right	incorrect	n/a	male	black	black	black	anger
110.1787	1.1926999999999879	emotion	1.1926999999999879	left	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
115.187	1.5671999999999997	emotion	1.5671999999999997	left	incorrect	n/a	male	black	black	black	fear
120.1952	1.445999999999998	emotion	1.445999999999998	right	incorrect	n/a	male	caucasian	caucasian	caucasian	fear
125.2035	1.8934999999999889	emotion	1.8934999999999889	right	incorrect	n/a	female	asian	black	asian	anger
130.2117	1.6701999999999941	control	1.6701999999999941	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
135.22	1.3228000000000009	control	1.3228000000000009	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
140.2282	2.933400000000006	control	2.933400000000006	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
145.2365	2.86099999999999	control	2.86099999999999	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
150.2447	3.213700000000017	control	3.213700000000017	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
155.253	1.1123000000000047	control	1.1123000000000047	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
160.2612	3.538000000000011	emotion	3.538000000000011	right	incorrect	n/a	male	caucasian	caucasian	caucasian	anger
165.2695	1.769599999999997	emotion	1.769599999999997	right	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
170.2777	1.0982999999999947	emotion	1.0982999999999947	left	incorrect	n/a	male	black	black	black	anger
175.286	1.9418000000000006	emotion	1.9418000000000006	right	incorrect	n/a	female	black	asian	asian	anger
180.2942	1.5314000000000192	emotion	1.5314000000000192	left	incorrect	n/a	male	caucasian	caucasian	white	fear
185.3025	1.1480999999999995	emotion	1.1480999999999995	left	incorrect	n/a	female	asian	asian	black	fear
190.3107	1.1617999999999995	control	1.1617999999999995	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
195.3189	2.450499999999977	control	2.450499999999977	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
200.3272	4.9	control	n/a	n/a	miss	vertical	n/a	n/a	n/a	n/a	n/a
205.3354	1.994799999999998	control	1.994799999999998	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
210.3437	0.9433999999999969	control	0.9433999999999969	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
215.3519	0.9180000000000064	control	0.9180000000000064	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
220.3602	2.3086000000000126	emotion	2.3086000000000126	left	incorrect	n/a	male	caucasian	caucasian	caucasian	fear
225.3684	3.0892000000000053	emotion	3.0892000000000053	right	incorrect	n/a	female	black	asian	asian	fear
230.3767	1.2179000000000144	emotion	1.2179000000000144	left	incorrect	n/a	male	caucasian	caucasian	caucasian	anger
235.3849	2.118600000000015	emotion	2.118600000000015	right	incorrect	n/a	male	black	black	black	fear
240.3932	2.4850999999999885	emotion	2.4850999999999885	right	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
245.4014	16.628500000000003	emotion	16.628500000000003	left	incorrect	n/a	female	asian	asian	black	anger
