onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0164	2.5082999999999984	control	2.5082999999999984	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
15.0247	2.116900000000001	control	2.116900000000001	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
20.0329	2.016599999999997	control	2.016599999999997	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
25.0412	1.8431999999999995	control	1.8431999999999995	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
30.0494	4.986800000000002	control	4.986800000000002	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
35.0577	1.9555000000000007	control	1.9555000000000007	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
40.0659	3.1721000000000004	emotion	3.1721000000000004	right	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
45.0741	2.5298000000000016	emotion	2.5298000000000016	left	incorrect	n/a	male	black	black	black	anger
50.0824	1.4984000000000037	emotion	1.4984000000000037	left	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
55.0906	3.375	emotion	3.375	right	incorrect	n/a	male	black	black	black	fear
60.0989	3.0486000000000004	emotion	3.0486000000000004	right	incorrect	n/a	male	caucasian	caucasian	caucasian	anger
65.1071	1.790300000000002	emotion	1.790300000000002	left	incorrect	n/a	female	asian	black	asian	fear
70.1154	2.0219000000000023	control	2.0219000000000023	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
75.1236	1.4106000000000023	control	1.4106000000000023	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
80.1319	1.4642000000000053	control	1.4642000000000053	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
85.1401	1.880899999999997	control	1.880899999999997	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
90.1484	1.4415000000000049	control	1.4415000000000049	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
95.1566	1.5211000000000041	control	1.5211000000000041	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
100.1649	2.4547000000000025	emotion	2.4547000000000025	left	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
105.1731	2.00739999999999	emotion	2.00739999999999	right	incorrect	n/a	male	black	black	black	anger
110.1813	1.9601000000000113	emotion	1.9601000000000113	left	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
115.1896	2.3057000000000016	emotion	2.3057000000000016	left	incorrect	n/a	male	black	black	black	fear
120.1978	1.3194000000000017	emotion	1.3194000000000017	right	incorrect	n/a	male	caucasian	caucasian	caucasian	fear
125.2061	1.6958999999999946	emotion	1.6958999999999946	right	incorrect	n/a	female	asian	black	asian	anger
130.2143	1.7545999999999822	control	1.7545999999999822	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
135.2226	1.7641999999999882	control	1.7641999999999882	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
140.2308	1.4009000000000071	control	1.4009000000000071	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
145.2391	4.9	control	n/a	n/a	miss	horizontal	n/a	n/a	n/a	n/a	n/a
150.2473	1.269200000000012	control	1.269200000000012	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
155.2556	1.1647000000000105	control	1.1647000000000105	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
160.2638	4.145399999999995	emotion	4.145399999999995	right	incorrect	n/a	male	caucasian	caucasian	caucasian	anger
165.2721	1.6350000000000193	emotion	1.6350000000000193	right	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
170.2803	1.4096999999999866	emotion	1.4096999999999866	left	incorrect	n/a	male	black	black	black	anger
175.2885	2.7952999999999975	emotion	2.7952999999999975	right	incorrect	n/a	female	black	asian	asian	anger
180.2968	2.4429000000000087	emotion	2.4429000000000087	left	incorrect	n/a	male	caucasian	caucasian	white	fear
185.305	1.5046999999999855	emotion	1.5046999999999855	left	incorrect	n/a	female	asian	asian	black	fear
190.3133	1.3721999999999923	control	1.3721999999999923	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
195.3215	4.901800000000009	control	4.901800000000009	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
200.3298	1.392499999999984	control	1.392499999999984	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
205.338	1.4261999999999944	control	1.4261999999999944	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
210.3463	1.3427999999999827	control	1.3427999999999827	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
215.3545	1.5023999999999944	control	1.5023999999999944	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
220.3628	2.1880000000000166	emotion	2.1880000000000166	left	incorrect	n/a	male	caucasian	caucasian	caucasian	fear
225.371	1.4416999999999973	emotion	1.4416999999999973	right	incorrect	n/a	female	black	asian	asian	fear
230.3792	2.1184000000000083	emotion	2.1184000000000083	left	incorrect	n/a	male	caucasian	caucasian	caucasian	anger
235.3875	3.551000000000016	emotion	3.551000000000016	right	incorrect	n/a	male	black	black	black	fear
240.3957	1.5807000000000073	emotion	1.5807000000000073	right	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
245.404	1.6522999999999968	emotion	1.6522999999999968	left	incorrect	n/a	female	asian	asian	black	anger
