onset	duration	trial_type	response_accuracy	response_time	response_hand
8.0349	6	active_change	incorrect	1.7866999999999997	left
20.0512	6	active_change	incorrect	1.666999999999998	left
26.0594	6	active_nochange	correct	1.7516999999999996	left
36.0759	6	passive	miss	n/a	right
42.0841	6	active_change	correct	1.5705000000000027	right
52.1005	6	active_nochange	correct	1.5848000000000013	left
60.117000000000004	6	active_change	correct	1.565100000000001	right
66.1252	6	active_nochange	correct	2.1936999999999927	left
72.1333	6	active_change	correct	1.564399999999992	right
78.1415	6	active_change	correct	1.8140000000000072	right
86.158	6	active_nochange	correct	1.7892999999999972	left
92.1662	6	active_nochange	incorrect	2.0688999999999993	right
100.1827	6	active_nochange	correct	1.502200000000002	left
106.1909	6	passive	n/a	2.460800000000006	right
112.1991	6	active_change	correct	1.6273999999999944	right
118.2073	6	active_nochange	correct	1.4980999999999938	left
126.22370000000001	6	passive	miss	n/a	left
134.2402	6	active_nochange	correct	1.6507000000000005	left
140.2484	6	active_nochange	correct	1.8482999999999947	left
150.2648	6	active_nochange	correct	1.512599999999992	left
156.273	6	passive	n/a	1.5343000000000018	right
162.2812	6	passive	n/a	2.064799999999991	right
172.2976	6	active_change	correct	1.7591000000000179	right
180.3141	6	active_change	correct	1.5955000000000155	right
188.3306	6	active_nochange	incorrect	1.77770000000001	right
194.3388	6	active_change	correct	1.6033000000000186	right
204.3552	6	passive	n/a	1.6347000000000094	right
210.3634	6	active_nochange	correct	1.5862999999999943	left
216.3716	6	active_change	correct	1.6908999999999992	right
222.3798	6	active_change	correct	1.5375000000000227	right
228.388	6	active_nochange	correct	1.7040999999999826	left
238.4044	6	active_change	correct	1.6613999999999862	right
244.4126	6	active_change	correct	1.6870000000000118	right
252.4291	6	active_change	correct	1.787300000000016	right
258.4373	6	active_change	correct	1.4780000000000086	right
264.4455	6	active_nochange	correct	1.4895999999999958	left
272.462	6	passive	n/a	1.7888000000000375	right
280.4784	6	passive	n/a	1.744199999999978	right
296.4947	6	active_nochange	correct	1.7303999999999746	left
302.5029	6	active_nochange	correct	1.634999999999991	left
