name	volume	thickness	area	meancurv
Left-G&S_frontomargin	2158.0	2.459	810.0	0.151
Left-G&S_occipital_inf	3396.0	2.563	1096.0	0.138
Left-G&S_paracentral	2638.0	2.488	857.0	0.105
Left-G&S_subcentral	3966.0	2.965	1125.0	0.115
Left-G&S_transv_frontopol	1736.0	2.6460000000000004	499.0	0.162
Left-G&S_cingul-Ant	4600.0	2.9760000000000004	1476.0	0.11800000000000001
Left-G&S_cingul-Mid-Ant	2650.0	2.787	915.0	0.11
Left-G&S_cingul-Mid-Post	2509.0	2.681	957.0	0.109
Left-G_cingul-Post-dorsal	1952.0	2.832	549.0	0.149
Left-G_cingul-Post-ventral	676.0	2.727	197.0	0.139
Left-G_cuneus	3123.0	2.043	1374.0	0.156
Left-G_front_inf-Opercular	3393.0	2.822	923.0	0.13699999999999998
Left-G_front_inf-Orbital	1225.0	2.551	355.0	0.146
Left-G_front_inf-Triangul	2809.0	2.623	807.0	0.138
Left-G_front_middle	11603.0	2.537	3586.0	0.138
Left-G_front_sup	18870.0	2.9139999999999997	5161.0	0.127
Left-G_Ins_lg&S_cent_ins	1610.0	3.697	418.0	0.105
Left-G_insular_short	2459.0	3.8110000000000004	473.0	0.114
Left-G_occipital_middle	4549.0	2.616	1462.0	0.138
Left-G_occipital_sup	3005.0	2.38	1110.0	0.14400000000000002
Left-G_oc-temp_lat-fusifor	3262.0	2.8680000000000003	899.0	0.147
Left-G_oc-temp_med-Lingual	4702.0	2.188	1851.0	0.145
Left-G_oc-temp_med-Parahip	4334.0	3.325	935.0	0.107
Left-G_orbital	6360.0	2.775	1768.0	0.14400000000000002
Left-G_pariet_inf-Angular	6390.0	2.628	1937.0	0.129
Left-G_pariet_inf-Supramar	7133.0	2.855	2020.0	0.134
Left-G_parietal_sup	5419.0	2.302	1907.0	0.134
Left-G_postcentral	4866.0	2.2569999999999997	1806.0	0.129
Left-G_precentral	5737.0	2.984	1486.0	0.10800000000000001
Left-G_precuneus	5221.0	2.59	1674.0	0.142
Left-G_rectus	3083.0	2.6830000000000003	858.0	0.135
Left-G_subcallosal	684.0	3.44	178.0	0.075
Left-G_temp_sup-G_T_transv	816.0	2.69	234.0	0.114
Left-G_temp_sup-Lateral	4853.0	2.84	1233.0	0.126
Left-G_temp_sup-Plan_polar	2053.0	3.55	518.0	0.062
Left-G_temp_sup-Plan_tempo	2371.0	2.521	876.0	0.111
Left-G_temporal_inf	6419.0	3.037	1568.0	0.14
Left-G_temporal_middle	7609.0	3.031	1839.0	0.14
Left-Lat_Fis-ant-Horizont	408.0	2.045	224.0	0.094
Left-Lat_Fis-ant-Vertical	665.0	2.207	347.0	0.092
Left-Lat_Fis-post	1427.0	2.858	667.0	0.114
Left-Pole_occipital	3389.0	2.127	1446.0	0.161
Left-Pole_temporal	4778.0	2.9760000000000004	1170.0	0.156
Left-S_calcarine	2530.0	2.069	1440.0	0.11599999999999999
Left-S_central	3467.0	2.03	1949.0	0.095
Left-S_cingul-Marginalis	1508.0	2.149	755.0	0.10400000000000001
Left-S_circular_insula_ant	783.0	2.6689999999999996	348.0	0.084
Left-S_circular_insula_inf	2112.0	2.938	852.0	0.092
Left-S_circular_insula_sup	2810.0	2.92	1223.0	0.1
Left-S_collat_transv_ant	1544.0	2.417	705.0	0.085
Left-S_collat_transv_post	727.0	2.207	412.0	0.10300000000000001
Left-S_front_inf	3180.0	2.447	1372.0	0.113
Left-S_front_middle	1836.0	2.0180000000000002	993.0	0.11900000000000001
Left-S_front_sup	4650.0	2.32	2064.0	0.106
Left-S_interm_prim-Jensen	530.0	2.2569999999999997	247.0	0.10099999999999999
Left-S_intrapariet&P_trans	3588.0	2.267	1819.0	0.126
Left-S_oc_middle&Lunatus	1469.0	2.376	654.0	0.133
Left-S_oc_sup&transversal	1936.0	2.1630000000000003	993.0	0.13
Left-S_occipital_ant	771.0	2.505	385.0	0.12
Left-S_oc-temp_lat	1082.0	2.227	558.0	0.092
Left-S_oc-temp_med&Lingual	3256.0	2.5810000000000004	1362.0	0.114
Left-S_orbital_lateral	554.0	1.964	334.0	0.135
Left-S_orbital_med-olfact	1013.0	2.351	546.0	0.11599999999999999
Left-S_orbital-H_Shaped	2853.0	2.612	1043.0	0.121
Left-S_parieto_occipital	3486.0	2.391	1584.0	0.122
Left-S_pericallosal	1331.0	2.273	840.0	0.125
Left-S_postcentral	4485.0	2.0709999999999997	2345.0	0.106
Left-S_precentral-inf-part	2023.0	2.56	918.0	0.09300000000000001
Left-S_precentral-sup-part	2011.0	2.556	889.0	0.095
Left-S_suborbital	1034.0	3.1439999999999997	395.0	0.107
Left-S_subparietal	1842.0	2.418	800.0	0.141
Left-S_temporal_inf	2216.0	2.575	998.0	0.11800000000000001
Left-S_temporal_sup	8690.0	2.376	3902.0	0.10800000000000001
Left-S_temporal_transverse	621.0	2.653	283.0	0.085
BrainSegVolNotVent	1164251.0	1164251.0	84600.6	1164251.0
eTIV	1262352.8650190001	1262352.8650190001	1164251.0	1262352.8650190001
