onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0119	4.3277	control	4.3277	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
15.0202	1.2883999999999975	control	1.2883999999999975	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
20.0284	1.2090999999999994	control	1.2090999999999994	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
25.0367	2.4677000000000007	control	2.4677000000000007	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
30.0449	1.5944000000000003	control	1.5944000000000003	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
35.0532	0.9750000000000014	control	0.9750000000000014	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
40.0615	1.4726	emotion	1.4726	right	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
45.0697	1.1052999999999997	emotion	1.1052999999999997	left	incorrect	n/a	male	black	black	black	anger
50.078	1.1688999999999936	emotion	1.1688999999999936	left	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
55.0862	1.2075999999999993	emotion	1.2075999999999993	right	incorrect	n/a	male	black	black	black	fear
60.0945	1.5072000000000045	emotion	1.5072000000000045	right	incorrect	n/a	male	caucasian	caucasian	caucasian	anger
65.1028	1.7867999999999995	emotion	1.7867999999999995	left	incorrect	n/a	female	asian	black	asian	fear
70.111	1.113500000000002	control	1.113500000000002	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
75.1193	1.362099999999998	control	1.362099999999998	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
80.1276	0.925699999999992	control	0.925699999999992	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
85.1358	1.4873999999999938	control	1.4873999999999938	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
90.1441	0.7920000000000016	control	0.7920000000000016	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
95.1523	1.4716999999999985	control	1.4716999999999985	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
100.1606	1.2352999999999952	emotion	1.2352999999999952	left	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
105.1689	1.613900000000001	emotion	1.613900000000001	right	incorrect	n/a	male	black	black	black	anger
110.1771	1.509600000000006	emotion	1.509600000000006	left	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
115.1854	1.3081999999999994	emotion	1.3081999999999994	left	incorrect	n/a	male	black	black	black	fear
120.1936	1.0219000000000023	emotion	1.0219000000000023	right	incorrect	n/a	male	caucasian	caucasian	caucasian	fear
125.2019	1.7334000000000032	emotion	1.7334000000000032	right	incorrect	n/a	female	asian	black	asian	anger
130.2102	1.0290999999999997	control	1.0290999999999997	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
135.2184	0.7228000000000065	control	0.7228000000000065	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
140.2267	1.1184000000000083	control	1.1184000000000083	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
145.2349	0.828000000000003	control	0.828000000000003	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
150.2432	0.6776999999999873	control	0.6776999999999873	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
155.2515	0.8262	control	0.8262	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
160.2597	1.3658999999999821	emotion	1.3658999999999821	right	incorrect	n/a	male	caucasian	caucasian	caucasian	anger
165.268	1.1245000000000118	emotion	1.1245000000000118	right	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
170.2763	1.6451000000000136	emotion	1.6451000000000136	left	incorrect	n/a	male	black	black	black	anger
175.2845	1.64579999999998	emotion	1.64579999999998	right	incorrect	n/a	female	black	asian	asian	anger
180.2928	1.2463999999999942	emotion	1.2463999999999942	left	incorrect	n/a	male	caucasian	caucasian	white	fear
185.301	1.2321000000000026	emotion	1.2321000000000026	left	incorrect	n/a	female	asian	asian	black	fear
190.3093	1.492699999999985	control	1.492699999999985	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
195.3176	0.8012999999999977	control	0.8012999999999977	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
200.3258	0.7080000000000268	control	0.7080000000000268	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
205.3341	1.0795999999999992	control	1.0795999999999992	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
210.3423	0.7863000000000113	control	0.7863000000000113	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
215.3506	0.7729000000000212	control	0.7729000000000212	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
220.3589	1.8403999999999883	emotion	1.8403999999999883	left	incorrect	n/a	male	caucasian	caucasian	caucasian	fear
225.3671	0.9002000000000123	emotion	0.9002000000000123	right	incorrect	n/a	female	black	asian	asian	fear
230.3754	1.0668000000000006	emotion	1.0668000000000006	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3837	1.3213999999999828	emotion	1.3213999999999828	right	incorrect	n/a	male	black	black	black	fear
240.3919	1.2490999999999985	emotion	1.2490999999999985	right	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
245.4002	1.4916999999999803	emotion	1.4916999999999803	left	incorrect	n/a	female	asian	asian	black	anger
