onset	duration	trial_type	response_accuracy	response_time	response_hand
8.0401	6	active_change	incorrect	0.9433999999999987	left
20.0564	6	active_change	correct	1.0216999999999992	right
26.0645	6	active_nochange	correct	2.5002999999999993	left
36.0809	6	passive	n/a	0.8076000000000008	left
42.0891	6	active_change	correct	0.8911999999999978	right
52.1055	6	active_nochange	correct	0.8245000000000005	left
60.1219	6	active_change	correct	0.8418000000000063	right
66.1301	6	active_nochange	correct	1.0503999999999962	left
72.1382	6	active_change	correct	0.8770999999999987	right
78.1464	6	active_change	incorrect	0.9086999999999961	left
86.1628	6	active_nochange	incorrect	0.7569999999999908	right
92.171	6	active_nochange	correct	0.7715999999999923	left
100.1874	6	active_nochange	incorrect	0.9799000000000007	right
106.1956	6	passive	n/a	0.46349999999999625	left
112.2037	6	active_change	correct	0.8812000000000069	right
118.2119	6	active_nochange	incorrect	0.9268000000000001	right
126.22829999999999	6	passive	n/a	0.48610000000002174	right
134.2448	6	active_nochange	incorrect	0.8523000000000138	right
140.2529	6	active_nochange	correct	0.6419999999999959	left
150.2693	6	active_nochange	incorrect	0.7913000000000068	right
156.2775	6	passive	n/a	0.44489999999998986	right
162.2856	6	passive	n/a	0.6145000000000209	left
172.302	6	active_change	correct	1.163800000000009	right
180.3185	6	active_change	incorrect	0.6529999999999916	left
188.3349	6	active_nochange	incorrect	0.729299999999995	right
194.343	6	active_change	correct	0.7940000000000111	right
204.3594	6	passive	n/a	0.6082000000000107	right
210.3676	6	active_nochange	correct	0.6718999999999937	left
216.3758	6	active_change	correct	0.9644000000000119	right
222.3839	6	active_change	correct	0.9170999999999765	right
228.3921	6	active_nochange	incorrect	1.358699999999999	right
238.4085	6	active_change	correct	1.2149	right
244.4166	6	active_change	incorrect	1.0016000000000247	left
252.433	6	active_change	correct	0.8799999999999955	right
258.4412	6	active_change	correct	0.9134999999999991	right
264.4494	6	active_nochange	incorrect	1.4160999999999717	right
272.4658	6	passive	n/a	0.44650000000001455	right
280.4822	6	passive	n/a	0.45280000000002474	right
296.4984	6	active_nochange	incorrect	1.7699999999999818	right
302.5066	6	active_nochange	incorrect	0.8496000000000095	right
