name	volume	thickness	area	meancurv
Left-bankssts	2530.0	2.3930000000000002	1111.0	0.109
Left-caudalanteriorcingulate	1567.0	2.898	570.0	0.134
Left-caudalmiddlefrontal	7790.0	2.565	2811.0	0.121
Left-cuneus	3387.0	1.784	1829.0	0.124
Left-entorhinal	2680.0	3.495	524.0	0.10099999999999999
Left-fusiform	10634.0	2.656	3524.0	0.125
Left-inferiorparietal	13350.0	2.445	5138.0	0.127
Left-inferiortemporal	10721.0	2.461	3672.0	0.127
Left-isthmuscingulate	2825.0	2.638	1037.0	0.132
Left-lateraloccipital	11972.0	2.166	5193.0	0.142
Left-lateralorbitofrontal	8717.0	2.6639999999999997	2947.0	0.126
Left-lingual	7009.0	2.0580000000000003	3237.0	0.138
Left-medialorbitofrontal	5978.0	2.427	2107.0	0.11800000000000001
Left-middletemporal	12110.0	2.439	4102.0	0.136
Left-parahippocampal	1994.0	2.48	700.0	0.085
Left-paracentral	3849.0	2.685	1305.0	0.095
Left-parsopercularis	4970.0	2.597	1777.0	0.111
Left-parsorbitalis	2763.0	2.5660000000000003	832.0	0.13699999999999998
Left-parstriangularis	4959.0	2.457	1740.0	0.134
Left-pericalcarine	2086.0	1.656	1414.0	0.127
Left-postcentral	11872.0	2.065	5355.0	0.11599999999999999
Left-posteriorcingulate	3944.0	2.582	1434.0	0.135
Left-precentral	16552.0	2.6839999999999997	5825.0	0.105
Left-precuneus	13062.0	2.533	5087.0	0.133
Left-rostralanteriorcingulate	3019.0	2.8169999999999997	953.0	0.128
Left-rostralmiddlefrontal	17342.0	2.189	7034.0	0.138
Left-superiorfrontal	27109.0	2.8289999999999997	8562.0	0.12300000000000001
Left-superiorparietal	15188.0	2.154	6416.0	0.124
Left-superiortemporal	14964.0	2.6489999999999996	4971.0	0.113
Left-supramarginal	14092.0	2.526	5173.0	0.11800000000000001
Left-frontalpole	1025.0	2.541	303.0	0.14300000000000002
Left-temporalpole	2453.0	3.452	549.0	0.158
Left-transversetemporal	1474.0	2.411	615.0	0.126
Left-insula	8076.0	3.273	2492.0	0.11599999999999999
BrainSegVolNotVent	1300269.0	1300269.0	100332.0	1300269.0
eTIV	1581114.586967	1581114.586967	1300269.0	1581114.586967
