name	intensity-avg	volume
Left-wm-bankssts	96.0097	2624.4
Left-wm-caudalanteriorcingulate	103.1539	3010.5
Left-wm-caudalmiddlefrontal	95.5956	5542.4
Left-wm-cuneus	90.0127	2246.6
Left-wm-entorhinal	76.4153	782.3
Left-wm-fusiform	89.6396	5712.2
Left-wm-inferiorparietal	98.7161	9301.4
Left-wm-inferiortemporal	86.6784	5824.7
Left-wm-isthmuscingulate	98.1129	3215.8
Left-wm-lateraloccipital	94.7016	9956.9
Left-wm-lateralorbitofrontal	95.8641	6935.8
Left-wm-lingual	83.8574	5108.0
Left-wm-medialorbitofrontal	93.535	4037.9
Left-wm-middletemporal	87.4846	5455.4
Left-wm-parahippocampal	85.068	1430.2
Left-wm-paracentral	94.9511	3906.1
Left-wm-parsopercularis	93.9661	2986.6
Left-wm-parsorbitalis	85.0882	780.4
Left-wm-parstriangularis	96.6364	2658.0
Left-wm-pericalcarine	89.1186	3211.2
Left-wm-postcentral	92.1929	7021.5
Left-wm-posteriorcingulate	101.059	4384.6
Left-wm-precentral	94.4499	12954.8
Left-wm-precuneus	97.2885	9274.6
Left-wm-rostralanteriorcingulate	96.103	2179.7
Left-wm-rostralmiddlefrontal	95.9981	11265.2
Left-wm-superiorfrontal	92.2751	14362.4
Left-wm-superiorparietal	97.5902	13256.4
Left-wm-superiortemporal	91.3995	7211.0
Left-wm-supramarginal	97.91799999999999	7278.8
Left-wm-frontalpole	91.2262	341.7
Left-wm-temporalpole	75.305	669.8
Left-wm-transversetemporal	93.8031	819.2
Left-wm-insula	92.9589	9383.0
Right-wm-bankssts	96.8079	2834.9
Right-wm-caudalanteriorcingulate	99.969	2352.9
Right-wm-caudalmiddlefrontal	96.3584	5297.1
Right-wm-cuneus	92.3473	2414.6
Right-wm-entorhinal	76.1978	806.8
Right-wm-fusiform	87.919	6249.7
Right-wm-inferiorparietal	96.9645	11188.0
Right-wm-inferiortemporal	86.2196	5903.1
Right-wm-isthmuscingulate	98.8445	3332.0
Right-wm-lateraloccipital	94.382	9281.5
Right-wm-lateralorbitofrontal	94.1827	7433.7
Right-wm-lingual	84.5492	5403.5
Right-wm-medialorbitofrontal	96.6579	3514.6
Right-wm-middletemporal	88.3249	5662.0
Right-wm-parahippocampal	84.2946	1523.3
Right-wm-paracentral	96.4398	4203.3
Right-wm-parsopercularis	97.2292	3024.9
Right-wm-parsorbitalis	89.9522	1282.8
Right-wm-parstriangularis	94.7377	3045.1
Right-wm-pericalcarine	85.0091	3260.2
Right-wm-postcentral	93.1937	6693.9
Right-wm-posteriorcingulate	99.714	4126.5
Right-wm-precentral	94.8745	11239.8
Right-wm-precuneus	97.936	8305.1
Right-wm-rostralanteriorcingulate	100.8395	1678.9
Right-wm-rostralmiddlefrontal	95.6123	10654.3
Right-wm-superiorfrontal	93.979	15443.6
Right-wm-superiorparietal	97.0762	11618.4
Right-wm-superiortemporal	89.736	6076.2
Right-wm-supramarginal	99.037	8402.9
Right-wm-frontalpole	92.4753	434.1
Right-wm-temporalpole	77.1832	665.4
Right-wm-transversetemporal	95.649	695.1
Right-wm-insula	92.1923	8830.7
Left-UnsegmentedWhiteMatter	100.4774	30547.0
Right-UnsegmentedWhiteMatter	100.5024	30523.2
