onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0157	3.1267999999999994	control	3.1267999999999994	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
15.0239	1.8964000000000016	control	1.8964000000000016	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
20.032	1.1221999999999994	control	1.1221999999999994	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
25.0402	1.036800000000003	control	1.036800000000003	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
30.0484	1.1355000000000004	control	1.1355000000000004	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
35.0566	0.7210999999999999	control	0.7210999999999999	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
40.0648	1.3027000000000015	emotion	1.3027000000000015	right	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
45.073	1.4703000000000017	emotion	1.4703000000000017	left	incorrect	n/a	male	black	black	black	anger
50.0812	1.3759999999999977	emotion	1.3759999999999977	left	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
55.0894	1.1486000000000018	emotion	1.1486000000000018	right	incorrect	n/a	male	black	black	black	fear
60.0976	1.2192000000000007	emotion	1.2192000000000007	right	incorrect	n/a	male	caucasian	caucasian	caucasian	anger
65.1057	1.1079000000000008	emotion	1.1079000000000008	left	incorrect	n/a	female	asian	black	asian	fear
70.1139	0.9425999999999988	control	0.9425999999999988	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
75.1221	0.7331999999999965	control	0.7331999999999965	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
80.1303	0.7817999999999898	control	0.7817999999999898	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
85.1385	0.9684000000000026	control	0.9684000000000026	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
90.1467	0.940100000000001	control	0.940100000000001	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
95.1549	0.7486999999999995	control	0.7486999999999995	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
100.1631	1.2553000000000054	emotion	1.2553000000000054	left	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
105.1713	1.4829000000000008	emotion	1.4829000000000008	right	incorrect	n/a	male	black	black	black	anger
110.1794	1.1007000000000033	emotion	1.1007000000000033	left	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
115.1876	1.2702999999999918	emotion	1.2702999999999918	left	incorrect	n/a	male	black	black	black	fear
120.1958	0.9718999999999909	emotion	0.9718999999999909	right	incorrect	n/a	male	caucasian	caucasian	caucasian	fear
125.204	1.475500000000011	emotion	1.475500000000011	right	incorrect	n/a	female	asian	black	asian	anger
130.2122	0.8251999999999953	control	0.8251999999999953	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
135.2204	1.0797999999999774	control	1.0797999999999774	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
140.2286	0.9233999999999867	control	0.9233999999999867	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
145.2368	0.8540000000000134	control	0.8540000000000134	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
150.245	0.9487000000000023	control	0.9487000000000023	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
155.2531	0.7164000000000215	control	0.7164000000000215	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
160.2613	1.8278999999999996	emotion	1.8278999999999996	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2695	1.167599999999993	emotion	1.167599999999993	right	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
170.2777	1.2802999999999827	emotion	1.2802999999999827	left	incorrect	n/a	male	black	black	black	anger
175.2859	2.1288000000000125	emotion	2.1288000000000125	right	incorrect	n/a	female	black	asian	asian	anger
180.2941	1.4675000000000011	emotion	1.4675000000000011	left	incorrect	n/a	male	caucasian	caucasian	white	fear
185.3023	1.4301000000000101	emotion	1.4301000000000101	left	incorrect	n/a	female	asian	asian	black	fear
190.3105	0.9818000000000211	control	0.9818000000000211	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
195.3186	0.7644999999999982	control	0.7644999999999982	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
200.3268	0.7801000000000045	control	0.7801000000000045	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
205.335	2.2047000000000025	control	2.2047000000000025	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
210.3432	0.7033000000000129	control	0.7033000000000129	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
215.3514	0.7869999999999777	control	0.7869999999999777	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
220.3596	1.2716000000000065	emotion	1.2716000000000065	left	incorrect	n/a	male	caucasian	caucasian	caucasian	fear
225.3678	0.925200000000018	emotion	0.925200000000018	right	incorrect	n/a	female	black	asian	asian	fear
230.376	1.1648999999999887	emotion	1.1648999999999887	left	incorrect	n/a	male	caucasian	caucasian	caucasian	anger
235.3842	0.990399999999994	emotion	0.990399999999994	right	incorrect	n/a	male	black	black	black	fear
240.3923	0.9812000000000012	emotion	0.9812000000000012	right	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
245.4005	1.3078000000000145	emotion	1.3078000000000145	left	incorrect	n/a	female	asian	asian	black	anger
