name	volume	thickness	area	meancurv
Left-bankssts	2247.0	2.408	969.0	0.091
Left-caudalanteriorcingulate	1714.0	2.5839999999999996	619.0	0.11900000000000001
Left-caudalmiddlefrontal	5369.0	2.533	1975.0	0.105
Left-cuneus	2374.0	1.9069999999999998	1214.0	0.135
Left-entorhinal	1704.0	3.6489999999999996	316.0	0.08900000000000001
Left-fusiform	9740.0	2.8280000000000003	3107.0	0.121
Left-inferiorparietal	12683.0	2.515	4676.0	0.12
Left-inferiortemporal	11120.0	2.835	3410.0	0.128
Left-isthmuscingulate	2379.0	2.812	821.0	0.13699999999999998
Left-lateraloccipital	10698.0	2.273	4452.0	0.135
Left-lateralorbitofrontal	7697.0	2.7310000000000003	2594.0	0.131
Left-lingual	5003.0	2.092	2337.0	0.13
Left-medialorbitofrontal	5401.0	2.753	1647.0	0.122
Left-middletemporal	9039.0	2.668	2842.0	0.11699999999999999
Left-parahippocampal	1913.0	2.5639999999999996	653.0	0.077
Left-paracentral	3841.0	2.5860000000000003	1365.0	0.10300000000000001
Left-parsopercularis	4187.0	2.6	1420.0	0.113
Left-parsorbitalis	1972.0	2.408	629.0	0.14400000000000002
Left-parstriangularis	2983.0	2.397	1067.0	0.124
Left-pericalcarine	1784.0	1.709	1210.0	0.126
Left-postcentral	9967.0	2.133	4156.0	0.11800000000000001
Left-posteriorcingulate	3322.0	2.957	1060.0	0.129
Left-precentral	12849.0	2.753	4288.0	0.10300000000000001
Left-precuneus	9191.0	2.505	3473.0	0.124
Left-rostralanteriorcingulate	2541.0	2.705	820.0	0.13
Left-rostralmiddlefrontal	13140.0	2.331	4885.0	0.132
Left-superiorfrontal	21821.0	2.673	6965.0	0.124
Left-superiorparietal	13388.0	2.1830000000000003	5726.0	0.124
Left-superiortemporal	12583.0	2.7430000000000003	3973.0	0.099
Left-supramarginal	9572.0	2.46	3506.0	0.11800000000000001
Left-frontalpole	877.0	2.911	238.0	0.188
Left-temporalpole	2150.0	3.679	407.0	0.127
Left-transversetemporal	1214.0	2.528	452.0	0.134
Left-insula	7230.0	3.1	2329.0	0.11699999999999999
BrainSegVolNotVent	1066774.0	1066774.0	79588.6	1066774.0
eTIV	1181125.577119	1181125.577119	1066774.0	1181125.577119
