Measure:volume	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	MaskVol	EstimatedTotalIntraCranialVol
sub-0001	3991.6	2649.4	5530.1	2995.4	848.2	6496.8	11038.3	7991.6	4698.0	11053.0	6591.2	6042.0	4068.7	6822.8	1818.8	4107.7	4663.2	1250.8	4359.2	3060.2	7739.4	4529.6	12859.0	9835.7	2488.2	13758.0	19373.6	12842.8	9286.0	10475.6	317.7	790.9	937.4	11027.7	2687.2	2926.3	5443.1	2928.1	728.3	6443.2	13435.7	6172.2	4112.7	12362.4	7403.3	6458.2	3507.8	6822.6	1665.3	5211.1	3552.0	1718.7	4629.5	2997.1	7043.6	4246.3	12755.0	11340.3	1969.3	13920.9	18463.4	11269.1	8804.7	10752.3	374.9	677.0	767.4	10182.2	30614.6	31799.8	248004.443698	246912.076573	494916.520271	1598807.0	1560838.764254
sub-0002	1933.7	2194.2	6219.6	2840.4	905.6	6694.6	9574.6	6716.0	3173.4	10276.5	6023.3	5051.8	3623.7	5446.7	1436.0	4296.3	3843.6	928.8	3151.2	3287.4	7091.1	4457.0	12359.1	7347.4	1960.3	10962.0	16931.3	10315.0	8291.5	9076.0	365.7	561.4	697.5	9013.8	2527.4	2793.5	4950.8	2796.4	672.6	6912.7	10169.7	5308.4	3394.6	10299.4	5934.9	5679.0	3579.4	5962.4	1649.1	4022.5	2982.7	1202.9	3272.3	3372.2	6485.9	4111.4	12897.5	9803.2	1813.5	11952.2	14569.2	10553.0	6958.2	8387.9	358.1	687.6	629.2	9350.2	25747.6	26800.0	215699.389244	215091.455309	430790.844554	1356180.0	1115228.151399
sub-0003	3173.7	2053.2	5513.8	1605.4	771.3	5580.1	8169.4	5774.1	3485.7	6720.6	5541.9	3756.2	2447.7	4727.7	1566.6	3341.2	2818.4	817.1	2227.5	2317.7	5306.7	3435.3	11057.2	7839.1	2361.2	9155.9	14886.3	9250.5	6254.3	6726.3	220.4	555.5	634.8	8406.8	2962.4	2075.9	5122.9	1633.4	672.8	5235.2	9989.0	4568.7	3568.7	6470.4	6199.0	3655.2	3427.4	5133.1	1410.8	3592.2	2596.7	1116.8	2401.8	1879.7	5208.1	3313.7	12279.7	8026.2	1583.4	9244.6	13647.0	10345.8	5264.4	5817.4	307.7	563.9	422.1	7669.3	22405.1	22351.7	181816.922184	180249.673592	362066.595776	1289075.0	1186697.257955
sub-0004	2343.9	1943.9	4981.5	2043.8	908.3	6080.0	8545.8	5949.0	3061.2	8323.0	5627.6	4105.1	2385.2	4981.7	1415.1	3718.0	3241.3	1025.7	3128.8	2565.8	5412.4	3752.3	10828.4	8844.4	1607.8	9889.5	13467.7	10668.0	6754.6	6592.4	270.7	602.7	945.5	9696.5	2615.8	2096.5	4494.5	2470.3	723.1	5728.4	9705.4	5507.9	2432.4	8232.3	5729.1	4419.1	3126.3	5266.6	1243.9	3868.2	2436.0	1148.2	2676.0	2796.7	5983.9	3317.2	11014.1	9343.8	1518.5	11835.8	15125.1	8695.2	5303.3	6969.3	359.3	648.0	512.9	8422.4	27150.0	28676.3	195008.01374	196668.106156	391676.119896	1247425.0	952776.991909
sub-0005	3438.8	2214.7	5486.7	2635.2	595.7	5797.2	10334.5	5329.9	3823.0	9396.3	6876.8	5536.6	3722.7	5678.1	1553.7	3530.8	3238.2	1078.6	2745.7	3043.9	5861.3	4579.4	11401.4	8395.2	2191.5	12594.4	16005.6	12224.2	7165.6	7390.9	254.0	682.1	762.9	9322.3	3064.7	2458.6	5240.9	2242.1	662.2	5393.1	8969.8	4897.9	3828.9	9742.0	6307.0	5352.4	3449.8	6455.7	1571.1	4585.8	2814.5	1226.7	3393.7	2836.8	6606.5	4060.4	12095.0	8434.2	1866.3	12740.1	15937.9	11587.7	6232.1	7983.1	457.2	686.9	693.1	9890.2	24676.1	23465.8	210027.669934	207176.74068	417204.410614	1427983.0	1497742.976131
sub-0006	3332.8	2682.9	7212.2	2895.5	1121.2	7375.5	11279.0	9090.0	4661.1	13833.1	7450.0	6994.4	4446.6	5146.0	1544.2	3851.5	3216.2	1072.3	3296.6	4240.9	9113.1	4742.3	14033.4	10544.5	3287.7	16271.8	19483.4	13330.1	10458.1	12810.2	316.1	877.4	959.1	9998.8	3125.9	2705.1	6346.8	3513.6	991.3	6789.5	13942.3	8035.3	3928.7	14800.1	8656.8	6979.8	4468.4	7502.2	1794.1	4710.8	3390.1	1497.6	3553.6	4236.2	7855.8	4997.9	14864.1	11269.8	1890.3	14900.0	19262.5	14102.8	7706.5	9311.7	453.1	685.0	597.9	9049.7	51647.9	51017.4	284008.186426	281732.278254	565740.46468	1682944.0	1441004.6407
sub-0007	1960.4	1961.8	4279.6	2507.9	734.1	5357.8	9339.3	5136.1	3359.3	8176.9	4897.1	4314.1	2345.2	4297.0	1308.0	2573.7	2569.2	838.2	2650.6	2006.6	5237.1	3103.2	8465.1	6904.4	2094.1	10998.9	13697.2	9699.1	5359.6	5419.8	349.2	591.3	661.9	7025.9	1721.5	2254.4	4558.1	2274.2	615.1	4573.1	8326.1	3968.7	2827.3	8607.9	4500.3	4569.3	3405.8	5084.1	1216.7	3610.9	1983.1	1181.9	2407.5	2226.4	6187.6	3471.1	8422.4	7593.5	1527.8	10506.7	12933.9	8292.2	5304.3	7037.8	408.8	665.5	467.4	7465.0	21445.0	22249.2	174514.193792	172254.976764	346769.170556	1233347.0	927712.749474
sub-0008	3357.7	3530.7	5839.0	3216.1	1443.8	6483.1	8726.1	7291.3	3933.7	10731.8	6798.8	6117.5	3835.3	6488.0	1554.3	4883.3	3624.2	1070.4	3111.0	3214.6	8517.0	4443.5	13680.2	11233.2	2978.5	11762.6	19980.0	14890.2	8373.4	11702.2	360.6	799.0	670.2	10270.2	2281.3	2981.8	6071.1	2941.9	1234.8	7737.8	10314.0	6910.3	3177.2	14430.7	6799.2	5772.1	3686.5	5898.4	1720.5	5343.8	3433.4	1186.2	3614.2	3345.6	8555.5	4700.2	13309.3	10621.8	2612.0	12097.2	20373.9	12690.6	7354.1	10816.1	427.6	734.0	504.8	10367.0	33726.4	34778.5	249822.158931	250286.9846	500109.143531	1617067.0	1604284.294118
sub-0009	3060.5	2690.9	5439.9	1736.4	599.0	5730.9	8896.8	4960.4	3473.0	7355.5	6284.2	4410.2	2543.3	4795.4	1588.4	3687.5	3337.6	676.3	3113.2	2834.4	5554.4	3828.7	9375.1	7394.7	2172.5	9129.9	16433.9	10357.6	6641.7	6684.8	183.1	654.5	801.4	8963.9	2496.9	2527.6	4879.7	1554.3	583.2	5324.9	8559.5	4769.6	2751.4	7977.1	5834.0	4558.3	3120.0	5570.9	1529.7	4640.5	2764.3	995.3	2847.0	2767.5	6089.9	3904.8	10030.7	6941.6	1619.7	9359.1	16025.4	9906.1	5938.8	6831.4	301.1	606.6	556.9	8064.8	21619.7	23192.7	189103.812779	187582.062723	376685.875502	1208044.0	924942.844516
sub-0010	3298.2	2420.3	7241.6	2255.7	1038.3	6593.3	8332.0	6660.9	3131.1	9405.6	6424.6	5707.8	2922.6	5847.7	1802.1	3465.7	3323.9	909.0	2839.8	3282.8	6780.8	4232.5	13284.8	8641.3	2353.9	12125.7	16952.6	11299.2	7908.4	8647.3	211.3	722.9	670.8	9189.8	3265.4	2537.4	7040.7	2189.0	794.6	5789.1	11258.5	6349.4	3066.3	9664.1	6516.1	5907.0	3363.0	6725.5	1607.0	4211.3	2766.0	1411.4	2670.7	3077.4	6596.3	4927.6	14215.1	8563.7	2220.9	12553.7	16015.8	11907.3	6438.8	6550.2	325.4	591.1	657.2	8533.9	28065.9	29777.0	220557.440042	220215.966482	440773.406523	1454274.0	1332963.907826
