rh.aparc.a2009s.area	rh_G&S_frontomargin_area	rh_G&S_occipital_inf_area	rh_G&S_paracentral_area	rh_G&S_subcentral_area	rh_G&S_transv_frontopol_area	rh_G&S_cingul-Ant_area	rh_G&S_cingul-Mid-Ant_area	rh_G&S_cingul-Mid-Post_area	rh_G_cingul-Post-dorsal_area	rh_G_cingul-Post-ventral_area	rh_G_cuneus_area	rh_G_front_inf-Opercular_area	rh_G_front_inf-Orbital_area	rh_G_front_inf-Triangul_area	rh_G_front_middle_area	rh_G_front_sup_area	rh_G_Ins_lg&S_cent_ins_area	rh_G_insular_short_area	rh_G_occipital_middle_area	rh_G_occipital_sup_area	rh_G_oc-temp_lat-fusifor_area	rh_G_oc-temp_med-Lingual_area	rh_G_oc-temp_med-Parahip_area	rh_G_orbital_area	rh_G_pariet_inf-Angular_area	rh_G_pariet_inf-Supramar_area	rh_G_parietal_sup_area	rh_G_postcentral_area	rh_G_precentral_area	rh_G_precuneus_area	rh_G_rectus_area	rh_G_subcallosal_area	rh_G_temp_sup-G_T_transv_area	rh_G_temp_sup-Lateral_area	rh_G_temp_sup-Plan_polar_area	rh_G_temp_sup-Plan_tempo_area	rh_G_temporal_inf_area	rh_G_temporal_middle_area	rh_Lat_Fis-ant-Horizont_area	rh_Lat_Fis-ant-Vertical_area	rh_Lat_Fis-post_area	rh_Pole_occipital_area	rh_Pole_temporal_area	rh_S_calcarine_area	rh_S_central_area	rh_S_cingul-Marginalis_area	rh_S_circular_insula_ant_area	rh_S_circular_insula_inf_area	rh_S_circular_insula_sup_area	rh_S_collat_transv_ant_area	rh_S_collat_transv_post_area	rh_S_front_inf_area	rh_S_front_middle_area	rh_S_front_sup_area	rh_S_interm_prim-Jensen_area	rh_S_intrapariet&P_trans_area	rh_S_oc_middle&Lunatus_area	rh_S_oc_sup&transversal_area	rh_S_occipital_ant_area	rh_S_oc-temp_lat_area	rh_S_oc-temp_med&Lingual_area	rh_S_orbital_lateral_area	rh_S_orbital_med-olfact_area	rh_S_orbital-H_Shaped_area	rh_S_parieto_occipital_area	rh_S_pericallosal_area	rh_S_postcentral_area	rh_S_precentral-inf-part_area	rh_S_precentral-sup-part_area	rh_S_suborbital_area	rh_S_subparietal_area	rh_S_temporal_inf_area	rh_S_temporal_sup_area	rh_S_temporal_transverse_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0001	769.0	946.0	932.0	1156.0	1077.0	2023.0	863.0	1047.0	446.0	226.0	1524.0	1007.0	336.0	1044.0	2738.0	4852.0	449.0	471.0	2037.0	1228.0	1141.0	2279.0	699.0	2074.0	2339.0	2096.0	1684.0	1312.0	1604.0	1939.0	581.0	247.0	317.0	1503.0	569.0	825.0	1683.0	2230.0	321.0	256.0	1195.0	2597.0	1283.0	1631.0	1867.0	981.0	437.0	874.0	1064.0	624.0	343.0	1518.0	1515.0	1774.0	167.0	2388.0	927.0	983.0	611.0	1024.0	1636.0	493.0	467.0	1128.0	1969.0	1047.0	1848.0	1147.0	998.0	327.0	976.0	1023.0	5153.0	326.0	93214.3	1235952.0	1560838.764254
sub-0002	623.0	1055.0	880.0	979.0	833.0	1650.0	960.0	874.0	386.0	209.0	1543.0	930.0	351.0	706.0	2364.0	4260.0	318.0	507.0	1681.0	972.0	1020.0	2203.0	746.0	1687.0	1771.0	1765.0	1985.0	1210.0	1714.0	1681.0	634.0	349.0	266.0	1200.0	484.0	506.0	1937.0	2202.0	232.0	213.0	1014.0	2428.0	1275.0	1671.0	1816.0	780.0	389.0	714.0	850.0	691.0	465.0	1181.0	1267.0	1740.0	401.0	2330.0	538.0	696.0	602.0	858.0	1298.0	231.0	511.0	830.0	1437.0	832.0	1697.0	992.0	1030.0	215.0	869.0	777.0	3952.0	271.0	82532.5	1056970.0	1115228.151399
sub-0003	608.0	697.0	793.0	742.0	611.0	1665.0	800.0	807.0	341.0	187.0	1025.0	813.0	345.0	461.0	2115.0	3917.0	346.0	327.0	1384.0	662.0	900.0	1210.0	949.0	1611.0	1789.0	1406.0	1583.0	1050.0	1598.0	1749.0	495.0	335.0	235.0	1101.0	486.0	462.0	1394.0	1814.0	200.0	153.0	791.0	1616.0	946.0	1017.0	1944.0	753.0	365.0	691.0	736.0	736.0	198.0	1082.0	1149.0	1473.0	166.0	2045.0	417.0	825.0	523.0	537.0	1120.0	254.0	470.0	829.0	1096.0	679.0	1344.0	1130.0	916.0	152.0	888.0	726.0	3813.0	135.0	70722.7	945765.0	1186697.257955
sub-0004	663.0	744.0	933.0	801.0	756.0	1453.0	774.0	869.0	292.0	176.0	1330.0	770.0	251.0	486.0	2442.0	3861.0	299.0	359.0	1066.0	849.0	1368.0	1511.0	798.0	1819.0	1393.0	1445.0	1458.0	1084.0	1297.0	1504.0	529.0	69.0	214.0	1123.0	480.0	463.0	1358.0	1360.0	243.0	150.0	898.0	2045.0	1277.0	1330.0	1524.0	776.0	307.0	704.0	752.0	790.0	186.0	979.0	1703.0	1768.0	241.0	1854.0	635.0	648.0	393.0	571.0	1149.0	246.0	443.0	868.0	1469.0	585.0	1536.0	846.0	877.0	125.0	724.0	770.0	3618.0	229.0	71707.5	973916.0	952776.991909
sub-0005	737.0	791.0	949.0	989.0	816.0	1927.0	898.0	945.0	383.0	197.0	1443.0	794.0	222.0	683.0	2932.0	4568.0	386.0	366.0	1673.0	1010.0	1085.0	1812.0	812.0	1999.0	1582.0	1675.0	1580.0	1313.0	1664.0	1788.0	566.0	355.0	251.0	1290.0	603.0	542.0	1652.0	1960.0	262.0	123.0	969.0	2298.0	1280.0	1610.0	1888.0	1027.0	415.0	790.0	872.0	532.0	267.0	1393.0	1877.0	1793.0	173.0	2591.0	733.0	1027.0	526.0	601.0	1709.0	326.0	512.0	1060.0	1250.0	950.0	1854.0	1335.0	976.0	37.0	865.0	763.0	3983.0	143.0	84047.1	1089881.0	1497742.976131
sub-0006	711.0	1059.0	871.0	1035.0	1023.0	2028.0	889.0	850.0	393.0	226.0	1667.0	856.0	245.0	606.0	2857.0	4639.0	444.0	428.0	2414.0	1197.0	1363.0	2100.0	923.0	1966.0	1644.0	2073.0	1638.0	1371.0	2079.0	1754.0	577.0	182.0	225.0	1220.0	517.0	597.0	1747.0	2735.0	166.0	195.0	981.0	2733.0	1224.0	1935.0	1933.0	819.0	398.0	733.0	866.0	803.0	366.0	1259.0	1720.0	1803.0	271.0	2524.0	1107.0	1083.0	726.0	742.0	1493.0	344.0	667.0	1054.0	1631.0	1013.0	1754.0	1344.0	1015.0	254.0	1109.0	1057.0	4641.0	224.0	91140.9	1281422.0	1441004.6407
sub-0007	472.0	860.0	883.0	796.0	665.0	1681.0	770.0	703.0	252.0	169.0	1292.0	729.0	197.0	443.0	2111.0	3327.0	424.0	253.0	1229.0	910.0	1015.0	1688.0	838.0	1417.0	1516.0	1515.0	1692.0	1348.0	1139.0	1454.0	524.0	226.0	188.0	1221.0	285.0	482.0	1146.0	1931.0	256.0	133.0	779.0	2144.0	1159.0	1174.0	1586.0	669.0	309.0	578.0	631.0	672.0	275.0	1036.0	1172.0	1477.0	169.0	1978.0	732.0	724.0	402.0	491.0	1131.0	233.0	390.0	708.0	1402.0	805.0	1678.0	952.0	535.0	102.0	618.0	502.0	3542.0	164.0	69098.8	916439.0	927712.749474
sub-0008	633.0	1145.0	987.0	1129.0	833.0	2359.0	1050.0	1205.0	396.0	203.0	1568.0	872.0	303.0	829.0	3076.0	5303.0	441.0	433.0	2310.0	1386.0	1586.0	1703.0	1356.0	1978.0	1728.0	2696.0	1970.0	1659.0	1731.0	2171.0	556.0	388.0	266.0	1344.0	528.0	633.0	1824.0	2059.0	273.0	246.0	1070.0	2405.0	1383.0	1654.0	1987.0	904.0	455.0	857.0	1090.0	911.0	305.0	1441.0	1684.0	2211.0	374.0	2330.0	1333.0	1334.0	603.0	722.0	1542.0	203.0	482.0	1129.0	1606.0	973.0	1975.0	1250.0	938.0	211.0	1048.0	958.0	3289.0	220.0	94028.6	1254394.0	1604284.294118
sub-0009	535.0	771.0	911.0	891.0	576.0	1909.0	777.0	970.0	290.0	142.0	1164.0	790.0	195.0	646.0	2226.0	4168.0	332.0	326.0	1414.0	810.0	1018.0	1657.0	637.0	1648.0	1921.0	1478.0	1411.0	1148.0	1323.0	1564.0	566.0	107.0	219.0	1177.0	435.0	511.0	1314.0	1630.0	236.0	187.0	862.0	2195.0	1148.0	1415.0	1563.0	880.0	378.0	671.0	875.0	483.0	230.0	1067.0	955.0	1692.0	237.0	1933.0	614.0	753.0	420.0	589.0	1171.0	159.0	498.0	767.0	1161.0	772.0	1719.0	1118.0	633.0	246.0	590.0	716.0	3141.0	160.0	71845.7	919357.0	924942.844516
sub-0010	653.0	842.0	921.0	895.0	801.0	1923.0	851.0	1012.0	371.0	195.0	1408.0	849.0	223.0	417.0	3354.0	4546.0	336.0	460.0	1558.0	1037.0	1388.0	1948.0	918.0	1702.0	2487.0	1387.0	1778.0	1429.0	2093.0	1790.0	508.0	402.0	220.0	1267.0	505.0	548.0	1746.0	1928.0	204.0	156.0	810.0	2317.0	1342.0	1589.0	2271.0	904.0	385.0	793.0	788.0	849.0	358.0	1259.0	1661.0	2225.0	191.0	2033.0	600.0	1188.0	443.0	670.0	1282.0	301.0	537.0	956.0	1377.0	896.0	1420.0	1527.0	1006.0	187.0	923.0	893.0	4340.0	175.0	85553.3	1115137.0	1332963.907826
sub-0011	610.0	676.0	812.0	943.0	574.0	1286.0	582.0	617.0	253.0	188.0	1351.0	664.0	261.0	384.0	1824.0	3776.0	311.0	354.0	1290.0	920.0	1100.0	1484.0	796.0	1497.0	1740.0	1541.0	1551.0	1173.0	1675.0	1339.0	506.0	87.0	274.0	944.0	377.0	497.0	1146.0	1726.0	129.0	134.0	885.0	1848.0	988.0	1283.0	1849.0	670.0	339.0	625.0	629.0	536.0	256.0	819.0	1383.0	1678.0	284.0	2167.0	548.0	857.0	476.0	506.0	1159.0	166.0	361.0	664.0	1360.0	669.0	1789.0	910.0	927.0	141.0	583.0	523.0	3204.0	179.0	68655.1	916414.0	1050308.739903
