Measure:mean	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
sub-0001	94.803	101.1799	98.3148	91.7943	79.2538	89.3478	98.0301	89.8338	100.5362	90.0555	93.1492	84.8911	92.0621	88.2644	86.7929	96.7	97.8144	88.2809	97.1261	87.5969	94.7937	100.9693	96.8927	97.8627	97.3857	97.1828	94.3808	97.9834	95.0436	99.8645	85.4795	79.3462	96.8541	95.6981	97.2131	101.7289	94.346	91.2138	77.687	88.8546	96.3223	86.8302	101.4682	91.4842	94.569	85.874	95.822	86.7987	86.6234	94.529	96.437	87.9534	94.861	87.1261	91.6348	99.0074	93.6936	97.8221	102.0112	95.74	93.9023	94.9368	92.6479	97.1189	87.7904	78.2224	94.0845	92.3301	101.8448	101.4232
sub-0002	91.7061	103.7094	96.5193	92.7301	79.2387	91.8228	97.4422	88.4648	103.4086	89.585	92.2566	87.3334	92.6938	86.5944	87.7648	95.1161	95.7312	83.0011	92.786	87.9855	89.267	100.2458	93.4736	97.6128	97.3656	94.934	93.2569	95.4939	93.9148	96.5926	86.9484	74.5617	95.7442	94.1736	97.9725	103.3597	94.9654	91.8401	75.0459	90.63	93.9899	85.0897	103.3392	89.0971	93.9731	88.4227	92.7112	86.0602	87.5041	93.0954	95.0522	85.1813	90.4556	89.5401	88.3659	99.8863	92.0399	98.6153	104.0367	93.8467	91.3892	92.81	91.8229	94.9454	84.8113	74.0249	96.3723	92.1961	101.9454	101.4214
sub-0003	99.6415	103.7929	96.3873	92.6958	78.0928	92.0427	97.0988	88.4154	105.3257	90.073	96.4771	89.4234	95.1833	88.2596	88.2953	92.1187	97.4899	85.3155	93.962	89.2109	90.5172	101.1858	93.8663	98.7075	104.7882	96.5144	93.592	96.3809	93.4563	97.3386	91.7082	73.5714	97.6569	95.3774	99.8741	102.9529	95.8841	92.2112	75.5712	91.8681	93.8724	86.1872	105.5675	88.3247	96.608	88.1802	96.4182	85.2212	86.4073	93.1108	96.6057	85.7984	92.5739	90.1333	88.118	101.0266	92.2894	99.5392	105.348	94.8365	92.3307	95.1187	88.675	94.38	90.4147	72.4243	96.216	93.9802	102.9204	101.7584
sub-0004	95.5187	104.1121	97.9087	87.6232	76.7631	90.2278	99.2351	87.9297	98.5054	92.9022	91.9998	82.9616	89.0113	87.7499	83.9136	94.1779	95.2186	86.4599	95.1523	79.0767	91.8937	101.4807	95.2151	96.3061	100.195	96.577	93.1202	97.2838	91.3569	96.2717	84.0967	71.3623	95.3395	93.407	98.4915	101.9646	94.3312	89.326	72.8112	89.1292	97.653	89.203	96.8353	93.0117	92.1936	83.1529	94.3758	90.2875	83.6116	92.289	94.6821	86.1506	93.7866	84.3958	90.8897	100.2951	93.4554	97.3327	103.611	94.3061	92.2981	95.5817	88.9657	96.7065	80.7859	73.3898	94.1132	91.2068	100.4423	100.6953
sub-0005	98.5794	98.6457	97.9221	93.6495	70.5888	89.8296	97.4938	88.7344	99.4739	91.5655	94.0643	84.8635	89.7597	89.2424	81.9053	94.887	96.7564	88.9733	95.9327	87.1588	90.7847	98.5489	96.3137	95.4941	99.08	96.0995	94.7727	97.2827	91.4235	98.2037	86.7734	75.3939	97.1025	94.3479	97.8458	98.3784	93.5268	89.6429	73.4879	88.3211	94.3084	84.5188	100.5184	90.95	94.3233	84.2022	92.5963	86.3301	83.0821	96.1146	97.0179	87.3056	95.3862	85.5098	91.6881	99.9175	94.9172	96.0045	101.4475	95.4494	94.6301	96.5267	88.7636	96.9155	90.5043	74.6818	95.3235	91.2359	100.4382	100.0495
sub-0006	98.09	104.0197	96.7316	93.0976	80.7783	90.0094	97.7232	92.4813	99.6536	93.0703	93.8675	87.7472	95.0411	88.2602	85.9461	96.0445	96.0607	87.3208	94.9573	90.3072	93.1868	102.9366	95.4489	96.9196	97.7398	97.0651	94.3689	96.8582	95.6733	98.0587	90.7538	76.7683	99.2524	93.2916	100.6626	102.6576	95.9256	94.0442	77.8777	89.8583	96.2986	89.2618	99.5492	92.7625	95.2913	89.0239	97.1126	87.0103	86.5278	94.3841	95.5211	87.4906	93.8017	90.0871	92.329	102.1079	94.5021	97.5068	101.6487	95.4911	94.8549	96.4563	92.3371	98.6306	89.2044	78.2125	96.1927	92.0242	101.7791	101.8333
sub-0007	96.0693	101.7702	96.8143	94.495	68.9196	87.559	97.513	86.9198	98.7489	90.4002	94.0507	83.4401	88.2917	87.4727	82.4265	93.1198	94.799	83.8192	93.1504	87.9007	91.4908	97.4724	95.6012	95.8794	102.4226	94.7861	93.9197	95.4455	90.2845	98.0297	85.6047	72.1199	96.8725	93.3748	90.2335	96.0764	94.0107	94.5645	71.1138	86.5909	94.7711	86.5437	98.6675	92.4835	94.175	84.3212	93.9919	86.3709	80.7306	93.7427	92.3735	88.1786	91.5736	86.8449	88.735	96.0656	92.3328	96.2168	101.4665	94.3695	93.6816	92.8208	87.2906	94.7414	87.8897	75.9836	92.9366	90.2349	100.8005	99.8699
sub-0008	98.1443	104.0647	96.8657	92.8302	79.0475	88.3923	97.9712	88.6583	100.1768	92.5372	93.2371	86.7954	89.5921	90.2165	82.6481	95.7322	97.5486	89.1437	96.3511	88.5308	93.4488	100.3454	95.4597	98.2739	98.5236	96.6978	94.3637	97.7434	95.2239	97.9019	90.7627	75.4768	96.4474	93.5737	97.0103	103.1081	95.8776	92.3833	75.7768	87.6022	96.7634	85.5576	99.6153	92.4805	93.3258	87.0438	91.3938	85.9042	81.4703	96.4823	98.1769	89.1324	94.1609	89.1261	90.8538	99.2785	94.2243	97.6587	99.506	94.9879	94.6539	96.5066	91.2172	97.4095	89.7488	75.7003	93.6344	91.7777	101.2652	100.8267
sub-0009	100.209	104.4605	98.5543	92.9473	75.5496	89.7269	96.2918	88.6081	105.6716	89.0845	94.2455	88.5296	92.2563	88.8115	87.2931	96.5098	96.9872	83.6571	95.1742	91.007	90.6327	101.0398	95.2995	100.941	102.5952	94.2938	95.2417	97.3605	93.568	95.4179	83.6398	71.0016	100.4725	94.0062	96.9863	101.7324	95.8757	90.1842	71.867	88.8988	90.9121	84.6242	106.2373	89.1526	94.0384	91.6166	93.8892	86.1867	86.9415	96.1475	95.2214	84.9367	91.9876	90.3428	89.3074	99.5986	93.2721	97.8716	104.3682	93.1027	94.3624	94.9362	87.7163	94.5068	85.2508	69.3265	95.4119	92.3852	102.5452	101.1925
sub-0010	98.2786	103.9758	97.5819	89.4739	76.9308	88.9868	97.7786	88.1044	98.1414	91.5706	94.3702	84.5862	90.7433	88.7107	85.9492	96.0295	96.0155	87.6451	96.0512	87.6033	93.9033	99.1873	95.8864	96.9815	103.5153	95.9501	93.6207	97.9378	93.8328	97.9927	84.8645	77.8416	95.9275	93.1096	97.1432	101.6353	96.366	89.0111	72.4213	84.1947	94.1432	84.786	97.745	89.0943	92.4678	84.4536	89.9936	87.2544	83.4764	95.1819	95.2864	89.1658	95.2778	85.7358	93.1041	98.9258	94.4714	96.2185	102.8191	93.9758	92.967	97.6198	88.5787	96.807	83.1239	72.1585	97.0405	90.4224	100.9404	99.7273
