Measure:volume	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus-Proper	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus-Proper	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	BrainSegVol	BrainSegVolNotVent	BrainSegVolNotVentSurf	lhCortexVol	rhCortexVol	CortexVol	lhCerebralWhiteMatterVol	rhCerebralWhiteMatterVol	CerebralWhiteMatterVol	SubCortGrayVol	TotalGrayVol	SupraTentorialVol	SupraTentorialVolNotVent	SupraTentorialVolNotVentVox	MaskVol	BrainSegVol-to-eTIV	MaskVol-to-eTIV	lhSurfaceHoles	rhSurfaceHoles	SurfaceHoles	EstimatedTotalIntraCranialVol
sub-0001	4245.9	121.8	15921.7	62396.5	7311.5	3510.6	5527.1	1995.1	935.6	1747.5	22869.8	4280.4	1577.7	1287.8	823.6	4204.2	92.9	368.8	4568.6	131.7	15320.5	61926.6	6806.7	3804.7	5586.9	1811.8	4231.5	1467.3	677.8	4111.8	23.1	457.4	0.0	1322.5	0.0	0.0	0.0	0.0	0.0	192.0	870.8	478.8	673.4	626.1	876.2	1248820.0	1235952.0	1235639.770931	265631.574774	261472.675887	527104.25066	248004.443698	246912.076573	494916.520271	59483.0	710825.25066	1092662.770931	1083505.770931	1081734.0	1598807.0	0.800095	1.024326	6.0	10.0	16.0	1560838.764254
sub-0002	4155.5	256.4	12401.1	48510.2	6437.4	3710.5	4525.0	1716.9	882.7	1406.8	18576.2	3675.1	1364.3	927.9	912.2	3654.8	20.1	191.1	4791.1	232.9	11733.2	48013.8	6338.1	3700.8	4521.8	1684.8	3782.9	1348.9	776.1	3636.4	25.2	290.7	0.0	1294.1	0.0	0.0	0.0	0.0	0.0	133.2	913.9	508.9	558.7	626.9	904.4	1069230.0	1056970.0	1056465.057765	225514.734687	227053.478525	452568.213211	215699.389244	215091.455309	430790.844554	53440.0	602272.213211	948003.057765	938738.057765	937219.0	1356180.0	0.958754	1.216056	12.0	11.0	23.0	1115228.151399
sub-0003	10956.4	696.1	11981.3	54431.7	6138.7	3939.2	4612.9	1723.8	1224.6	3462.9	16965.6	3609.4	1312.2	1349.1	730.1	3346.2	19.5	755.5	12039.4	595.0	11389.1	52467.4	5685.6	3882.5	4615.2	1527.7	3264.1	1229.0	755.4	3561.2	9.2	708.0	0.0	1200.7	0.0	0.0	0.0	0.0	0.0	192.7	881.4	546.1	427.1	555.3	862.1	976924.0	945765.0	944897.161843	203037.043477	200760.522589	403797.566066	181816.922184	180249.673592	362066.595776	51366.0	560831.566066	843710.161843	818378.161843	817975.0	1289075.0	0.823229	1.086271	4.0	11.0	15.0	1186697.257955
sub-0004	5585.5	769.5	11828.9	50090.7	6432.6	3571.9	3650.8	1527.7	683.3	1935.1	18200.5	3162.6	1213.9	868.6	720.0	3272.6	67.3	394.1	4541.4	246.1	12008.1	51945.8	6110.2	3801.4	3910.2	1501.7	3233.4	1142.0	724.7	3110.9	87.4	473.0	0.0	1421.1	0.0	0.0	0.0	0.0	0.0	193.8	780.9	549.1	431.0	500.5	797.6	988366.0	973916.0	973686.675792	202540.343904	206709.211992	409249.555896	195008.01374	196668.106156	391676.119896	48976.0	559201.555896	862420.675792	851207.675792	850139.0	1247425.0	1.037353	1.309252	8.0	3.0	11.0	952776.991909
sub-0005	12124.9	227.0	16363.5	59748.8	6350.1	3339.2	4621.7	1631.6	955.4	2039.7	21421.4	4043.2	1627.4	815.5	787.7	3690.2	18.8	508.4	12848.2	360.0	15136.7	56860.1	5993.3	3337.8	4578.1	1544.9	4398.4	1575.9	627.8	3764.2	40.5	491.9	0.0	1336.2	0.0	0.0	0.0	0.0	0.0	142.9	968.2	326.2	376.3	387.6	866.1	1119429.0	1089881.0	1089540.126818	237606.167924	234530.54828	472136.716204	210027.669934	207176.74068	417204.410614	53786.0	642380.716204	970490.126818	944524.126818	943392.0	1427983.0	0.747411	0.953423	9.0	9.0	18.0	1497742.976131
sub-0006	8880.8	365.2	16163.8	61262.3	7835.3	3575.0	5936.4	2183.2	1096.3	2984.8	25911.5	4153.0	1464.6	1024.7	769.9	4383.1	84.9	670.5	6769.8	614.1	16505.0	61377.9	7627.1	3755.8	6060.4	2101.3	4375.0	1704.2	731.3	4385.2	41.0	762.0	0.0	1253.1	0.0	0.0	0.0	0.0	0.0	191.2	1181.6	699.2	556.7	581.4	1123.2	1303715.0	1281422.0	1280766.735904	248424.239003	251364.03222	499788.271223	284008.186426	281732.278254	565740.46468	62695.0	684304.271223	1146967.735904	1129512.735904	1128813.0	1682944.0	0.904726	1.167896	0.0	5.0	5.0	1441004.6407
sub-0007	7819.5	250.5	12646.5	50422.5	6477.6	2803.1	4767.7	1544.8	858.8	2105.3	18174.6	3482.0	1126.4	1103.7	619.5	3524.1	21.6	651.6	7007.6	255.1	12016.0	48509.6	6257.4	3073.6	4616.3	1538.4	3491.9	1247.6	579.9	3586.6	20.6	664.9	0.0	1433.2	0.0	0.0	0.0	0.0	0.0	139.1	926.0	630.9	591.4	515.7	767.6	936173.0	916439.0	915752.285847	198401.422246	198200.693045	396602.115291	174514.193792	172254.976764	346769.170556	50743.0	545399.115291	811605.285847	795609.285847	794716.0	1233347.0	1.009119	1.329449	13.0	23.0	36.0	927712.749474
sub-0008	5983.5	329.9	15979.5	64020.0	7446.4	4087.2	5943.4	2093.0	1045.8	2198.4	23740.3	4418.5	1687.2	1053.8	820.2	4348.1	23.1	477.8	4075.1	442.0	15451.2	62887.0	6922.1	4052.7	5981.2	2088.2	4759.7	1680.5	722.6	4282.8	12.8	598.0	0.0	1446.6	0.0	0.0	0.0	0.0	0.0	265.4	829.3	495.8	531.4	448.1	796.5	1269429.0	1254394.0	1253540.87792	267920.901305	265434.833085	533355.734389	249822.158931	250286.9846	500109.143531	63326.0	723390.734389	1109599.87792	1098621.87792	1097448.0	1617067.0	0.791274	1.007968	2.0	9.0	11.0	1604284.294118
sub-0009	3136.9	155.2	12290.2	45393.6	6329.3	3044.3	4290.3	1526.2	570.7	1778.7	17723.1	3270.1	1245.8	719.4	794.8	3105.6	25.5	317.7	2916.4	140.5	11561.2	44222.0	5596.7	3380.9	4239.4	1456.6	3208.5	1249.5	712.2	3451.1	24.4	546.9	0.0	1801.8	0.0	0.0	0.0	0.0	0.0	158.5	838.9	371.4	681.3	537.0	896.6	928909.0	919357.0	918632.264777	192063.042709	189875.346566	381938.389275	189103.812779	187582.062723	376685.875502	48461.0	519340.389275	815026.264777	808347.264777	807716.0	1208044.0	1.004288	1.306074	4.0	4.0	8.0	924942.844516
sub-0010	8251.7	245.9	13026.3	54035.4	6730.0	3916.1	5325.5	1730.5	1420.5	1260.0	17629.6	4332.3	1948.6	1175.5	775.7	3719.1	30.5	617.8	8014.9	471.6	13564.7	54348.1	6508.7	4082.7	5521.2	1693.8	4078.6	1638.1	655.8	3761.2	19.1	699.4	0.0	1090.0	0.0	0.0	0.0	0.0	0.0	169.7	772.4	541.8	506.0	464.6	957.5	1136613.0	1115137.0	1114627.620378	239973.585676	241687.628178	481661.213855	220557.440042	220215.966482	440773.406523	58203.0	648385.213855	1000298.620378	982476.620378	981050.0	1454274.0	0.852696	1.091008	12.0	8.0	20.0	1332963.907826
