rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0001	1013.0	752.0	1976.0	1669.0	332.0	2902.0	6089.0	3390.0	1114.0	6053.0	2914.0	3622.0	1855.0	4121.0	637.0	1697.0	1543.0	1085.0	2087.0	1399.0	3963.0	1200.0	4700.0	4639.0	571.0	6267.0	7627.0	5479.0	4506.0	4430.0	325.0	431.0	402.0	2401.0	93192.2	1235952.0	1560838.764254
sub-0002	852.0	682.0	1932.0	1633.0	357.0	2998.0	4934.0	3287.0	907.0	5120.0	2284.0	3399.0	1833.0	3696.0	641.0	1406.0	1304.0	772.0	1583.0	1542.0	3636.0	1070.0	4626.0	3814.0	485.0	5200.0	6424.0	5401.0	3553.0	3759.0	337.0	450.0	357.0	2231.0	82505.5	1056970.0	1115228.151399
sub-0003	828.0	508.0	1931.0	1054.0	375.0	2455.0	4952.0	2504.0	845.0	3698.0	2224.0	2078.0	1761.0	3045.0	600.0	1269.0	1175.0	771.0	1236.0	975.0	3131.0	897.0	4710.0	3505.0	488.0	4402.0	5929.0	4604.0	3129.0	2750.0	304.0	386.0	268.0	1920.0	70708.4	945765.0	1186697.257955
sub-0004	788.0	508.0	1750.0	1435.0	471.0	2827.0	4211.0	2717.0	720.0	4110.0	2277.0	2476.0	1459.0	2569.0	500.0	1435.0	1075.0	717.0	1216.0	1396.0	3230.0	902.0	3859.0	3509.0	333.0	5414.0	6064.0	4495.0	3047.0	3051.0	353.0	429.0	309.0	1847.0	71500.3	973916.0	952776.991909
sub-0005	869.0	677.0	2470.0	1463.0	351.0	2666.0	4680.0	2820.0	988.0	4977.0	2704.0	3259.0	1913.0	3563.0	702.0	1553.0	1112.0	885.0	1497.0	1534.0	3978.0	1208.0	4636.0	3912.0	529.0	6245.0	6778.0	5425.0	3699.0	3501.0	342.0	474.0	350.0	2346.0	84031.3	1089881.0	1497742.976131
sub-0006	946.0	663.0	2454.0	1812.0	455.0	3058.0	6123.0	3523.0	1137.0	6638.0	2771.0	3386.0	2076.0	4327.0	635.0	1321.0	1175.0	887.0	1471.0	1712.0	4126.0	1158.0	5204.0	4185.0	568.0	6213.0	6865.0	5691.0	3615.0	3565.0	369.0	408.0	320.0	2223.0	91073.1	1281422.0	1441004.6407
sub-0007	963.0	572.0	1647.0	1293.0	407.0	2533.0	4137.0	2263.0	738.0	4771.0	1801.0	2745.0	1469.0	2870.0	531.0	1269.0	986.0	709.0	1160.0	1189.0	3599.0	889.0	3418.0	3196.0	478.0	4364.0	5493.0	4777.0	3004.0	3059.0	331.0	435.0	272.0	1723.0	69083.0	916439.0	927712.749474
sub-0008	790.0	708.0	2415.0	1663.0	590.0	3675.0	4997.0	3564.0	997.0	6861.0	2748.0	2838.0	2078.0	3411.0	701.0	1590.0	1264.0	856.0	1761.0	1351.0	4511.0	1397.0	4960.0	4482.0	713.0	6022.0	8532.0	6019.0	3838.0	4904.0	353.0	441.0	322.0	2667.0	94013.0	1254394.0	1604284.294118
sub-0009	754.0	631.0	1836.0	1206.0	294.0	2377.0	4454.0	2515.0	673.0	4401.0	2310.0	2584.0	1726.0	2918.0	580.0	1493.0	1143.0	653.0	1292.0	1401.0	3468.0	1181.0	3846.0	3157.0	440.0	4337.0	6441.0	4488.0	3162.0	3218.0	264.0	403.0	270.0	1900.0	71815.5	919357.0	924942.844516
sub-0010	964.0	618.0	2576.0	1480.0	446.0	3023.0	5745.0	3330.0	916.0	4948.0	2544.0	3269.0	1895.0	3492.0	604.0	1467.0	1238.0	867.0	1128.0	1448.0	3961.0	1240.0	5620.0	3884.0	505.0	6398.0	7035.0	5208.0	3694.0	2966.0	340.0	433.0	276.0	1978.0	85533.3	1115137.0	1332963.907826
sub-0011	628.0	515.0	1526.0	1453.0	366.0	2548.0	4503.0	2198.0	724.0	4030.0	1994.0	2344.0	1407.0	2710.0	566.0	1121.0	984.0	681.0	983.0	1289.0	3702.0	789.0	4430.0	3070.0	311.0	4258.0	5616.0	5116.0	2831.0	3227.0	328.0	398.0	272.0	1731.0	68645.6	916414.0	1050308.739903
sub-0012	811.0	690.0	2094.0	1770.0	410.0	2858.0	5295.0	2778.0	764.0	4701.0	2416.0	2944.0	1699.0	3387.0	537.0	1655.0	1112.0	685.0	1264.0	1763.0	3760.0	1265.0	4461.0	4403.0	509.0	5709.0	6922.0	5697.0	3634.0	3601.0	338.0	412.0	310.0	1979.0	82619.3	1093680.0	1174483.265912
sub-0013	902.0	942.0	2296.0	1730.0	496.0	3283.0	5399.0	3880.0	1115.0	5359.0	2863.0	3323.0	1914.0	3693.0	568.0	1670.0	1635.0	960.0	1918.0	1725.0	3966.0	1605.0	5095.0	4169.0	660.0	5793.0	7434.0	5679.0	3521.0	3920.0	331.0	430.0	430.0	2484.0	91182.8	1245924.0	1575330.67754
sub-0014	764.0	447.0	1987.0	1534.0	536.0	2814.0	4792.0	3043.0	1010.0	4673.0	2586.0	3343.0	1741.0	3233.0	578.0	1251.0	1031.0	768.0	1123.0	1473.0	3574.0	1086.0	4699.0	3232.0	357.0	5242.0	6978.0	4251.0	3154.0	3488.0	306.0	447.0	283.0	2070.0	77896.8	1087763.0	1206059.232953
sub-0015	934.0	616.0	2091.0	1620.0	446.0	2888.0	5002.0	2963.0	735.0	5405.0	2350.0	3547.0	1878.0	3301.0	624.0	1976.0	1403.0	678.0	1499.0	1413.0	4176.0	1156.0	6181.0	4248.0	566.0	5320.0	7603.0	6267.0	3810.0	3917.0	293.0	395.0	342.0	2328.0	87952.5	1157625.0	1400508.836146
sub-0016	760.0	740.0	2124.0	1346.0	335.0	2616.0	4394.0	3059.0	752.0	4414.0	2228.0	3392.0	1806.0	3244.0	608.0	1441.0	1332.0	831.0	1352.0	1519.0	3855.0	1042.0	3853.0	3606.0	484.0	6114.0	6111.0	4784.0	3095.0	3928.0	347.0	386.0	295.0	1955.0	78030.4	1078694.0	1226969.408346
sub-0017	654.0	520.0	1758.0	1702.0	381.0	2383.0	4135.0	2285.0	854.0	5076.0	2327.0	3034.0	1920.0	2855.0	523.0	1212.0	1069.0	722.0	1418.0	1496.0	3336.0	890.0	4461.0	2833.0	421.0	4486.0	6791.0	5211.0	2980.0	2581.0	291.0	420.0	288.0	1967.0	73276.9	975124.0	1223580.126877
sub-0018	951.0	846.0	2356.0	1560.0	504.0	2962.0	6680.0	3099.0	900.0	5253.0	2708.0	3233.0	1762.0	3603.0	703.0	1853.0	1318.0	934.0	1724.0	1439.0	4321.0	1382.0	5328.0	4247.0	648.0	6464.0	6826.0	6178.0	4573.0	4106.0	350.0	463.0	395.0	2336.0	91897.2	1205241.0	1420234.794428
sub-0019	782.0	604.0	2104.0	1326.0	395.0	2712.0	4556.0	2594.0	752.0	4406.0	2251.0	2620.0	1682.0	2766.0	530.0	1381.0	1490.0	757.0	1309.0	1232.0	3350.0	1042.0	4239.0	3261.0	400.0	4860.0	6249.0	4290.0	3006.0	2624.0	312.0	340.0	309.0	1780.0	72306.5	971395.0	962037.916402
sub-0020	835.0	722.0	2321.0	1409.0	489.0	3013.0	4100.0	2959.0	849.0	4324.0	2852.0	2930.0	2140.0	3400.0	706.0	1871.0	1352.0	899.0	1592.0	1211.0	4287.0	1240.0	5081.0	4672.0	544.0	6137.0	7853.0	6057.0	4067.0	4280.0	329.0	463.0	332.0	2250.0	87563.2	1141418.0	1241908.211028
