lh.aparc.a2009s.volume	lh_G&S_frontomargin_volume	lh_G&S_occipital_inf_volume	lh_G&S_paracentral_volume	lh_G&S_subcentral_volume	lh_G&S_transv_frontopol_volume	lh_G&S_cingul-Ant_volume	lh_G&S_cingul-Mid-Ant_volume	lh_G&S_cingul-Mid-Post_volume	lh_G_cingul-Post-dorsal_volume	lh_G_cingul-Post-ventral_volume	lh_G_cuneus_volume	lh_G_front_inf-Opercular_volume	lh_G_front_inf-Orbital_volume	lh_G_front_inf-Triangul_volume	lh_G_front_middle_volume	lh_G_front_sup_volume	lh_G_Ins_lg&S_cent_ins_volume	lh_G_insular_short_volume	lh_G_occipital_middle_volume	lh_G_occipital_sup_volume	lh_G_oc-temp_lat-fusifor_volume	lh_G_oc-temp_med-Lingual_volume	lh_G_oc-temp_med-Parahip_volume	lh_G_orbital_volume	lh_G_pariet_inf-Angular_volume	lh_G_pariet_inf-Supramar_volume	lh_G_parietal_sup_volume	lh_G_postcentral_volume	lh_G_precentral_volume	lh_G_precuneus_volume	lh_G_rectus_volume	lh_G_subcallosal_volume	lh_G_temp_sup-G_T_transv_volume	lh_G_temp_sup-Lateral_volume	lh_G_temp_sup-Plan_polar_volume	lh_G_temp_sup-Plan_tempo_volume	lh_G_temporal_inf_volume	lh_G_temporal_middle_volume	lh_Lat_Fis-ant-Horizont_volume	lh_Lat_Fis-ant-Vertical_volume	lh_Lat_Fis-post_volume	lh_Pole_occipital_volume	lh_Pole_temporal_volume	lh_S_calcarine_volume	lh_S_central_volume	lh_S_cingul-Marginalis_volume	lh_S_circular_insula_ant_volume	lh_S_circular_insula_inf_volume	lh_S_circular_insula_sup_volume	lh_S_collat_transv_ant_volume	lh_S_collat_transv_post_volume	lh_S_front_inf_volume	lh_S_front_middle_volume	lh_S_front_sup_volume	lh_S_interm_prim-Jensen_volume	lh_S_intrapariet&P_trans_volume	lh_S_oc_middle&Lunatus_volume	lh_S_oc_sup&transversal_volume	lh_S_occipital_ant_volume	lh_S_oc-temp_lat_volume	lh_S_oc-temp_med&Lingual_volume	lh_S_orbital_lateral_volume	lh_S_orbital_med-olfact_volume	lh_S_orbital-H_Shaped_volume	lh_S_parieto_occipital_volume	lh_S_pericallosal_volume	lh_S_postcentral_volume	lh_S_precentral-inf-part_volume	lh_S_precentral-sup-part_volume	lh_S_suborbital_volume	lh_S_subparietal_volume	lh_S_temporal_inf_volume	lh_S_temporal_sup_volume	lh_S_temporal_transverse_volume	BrainSegVolNotVent	eTIV
sub-0001	1758.0	3775.0	2952.0	3505.0	2630.0	4075.0	2121.0	2401.0	1766.0	1020.0	3197.0	4813.0	1370.0	4078.0	9698.0	19263.0	2188.0	3043.0	5460.0	3285.0	4005.0	5673.0	3631.0	7022.0	6290.0	8302.0	5457.0	3734.0	5685.0	6266.0	3228.0	1093.0	1001.0	5925.0	2254.0	2288.0	7171.0	11695.0	576.0	795.0	1837.0	3097.0	5601.0	3140.0	3355.0	1723.0	1254.0	2740.0	3342.0	1958.0	726.0	3499.0	2295.0	4514.0	402.0	4617.0	1308.0	2015.0	974.0	1683.0	3754.0	787.0	1142.0	2307.0	3481.0	1550.0	4279.0	2427.0	2317.0	1251.0	1574.0	2966.0	13066.0	812.0	1235952.0	1560838.764254
sub-0002	2210.0	3391.0	3266.0	2879.0	1839.0	4225.0	2132.0	2763.0	1392.0	635.0	3013.0	3440.0	1213.0	3071.0	8749.0	18270.0	1434.0	2189.0	4687.0	1893.0	4379.0	4422.0	3060.0	5610.0	6868.0	6282.0	4778.0	4128.0	4632.0	5182.0	2308.0	853.0	915.0	5202.0	1678.0	2481.0	7372.0	7376.0	324.0	733.0	1579.0	2587.0	4220.0	2474.0	2940.0	1276.0	743.0	2039.0	2382.0	1718.0	592.0	3373.0	1725.0	3899.0	564.0	3782.0	1514.0	1570.0	1099.0	1276.0	3088.0	378.0	857.0	2033.0	2925.0	1077.0	3912.0	2146.0	1755.0	2097.0	1160.0	2253.0	9073.0	552.0	1056970.0	1115228.151399
sub-0003	2250.0	1650.0	2720.0	2423.0	1420.0	3949.0	2260.0	1966.0	1729.0	595.0	2283.0	2625.0	1182.0	2478.0	8414.0	14780.0	1228.0	1830.0	3698.0	1695.0	4140.0	3235.0	4103.0	5208.0	5953.0	5727.0	4573.0	3106.0	5384.0	5797.0	2089.0	1487.0	759.0	4931.0	1895.0	1774.0	6564.0	6775.0	576.0	269.0	1415.0	2214.0	5317.0	2073.0	3195.0	1238.0	841.0	1782.0	1830.0	1887.0	262.0	2441.0	1423.0	4513.0	344.0	3466.0	808.0	1457.0	1160.0	982.0	2485.0	297.0	832.0	1981.0	2243.0	1127.0	2623.0	2415.0	1582.0	748.0	1454.0	2020.0	8081.0	439.0	945765.0	1186697.257955
sub-0004	1543.0	2050.0	2680.0	2675.0	1768.0	3688.0	1746.0	2199.0	1169.0	561.0	2242.0	3557.0	1617.0	3613.0	7278.0	14393.0	1415.0	1863.0	3868.0	2342.0	2843.0	3280.0	4059.0	5958.0	4479.0	5268.0	5392.0	2376.0	4398.0	5806.0	2112.0	731.0	1097.0	4368.0	1335.0	1791.0	6338.0	6394.0	417.0	402.0	1476.0	2698.0	5384.0	2115.0	2888.0	1581.0	672.0	1704.0	2349.0	2026.0	365.0	2753.0	1715.0	3531.0	232.0	3971.0	1124.0	1282.0	967.0	1370.0	3076.0	530.0	733.0	2273.0	3182.0	751.0	2747.0	2057.0	1630.0	1304.0	1380.0	1854.0	8784.0	536.0	973916.0	952776.991909
sub-0005	2354.0	2887.0	2793.0	3000.0	1786.0	5060.0	2437.0	2785.0	1921.0	759.0	3054.0	2978.0	1155.0	2633.0	11800.0	17799.0	1613.0	2212.0	4948.0	2166.0	3834.0	5239.0	3424.0	6889.0	6476.0	5313.0	5226.0	2993.0	5935.0	5955.0	2165.0	1009.0	959.0	5587.0	1925.0	1978.0	6200.0	7696.0	512.0	386.0	1408.0	2249.0	5720.0	2740.0	3502.0	1544.0	878.0	2575.0	2308.0	1407.0	524.0	3731.0	1896.0	4294.0	375.0	4936.0	1254.0	1697.0	1196.0	1113.0	3043.0	529.0	1056.0	2892.0	2645.0	1271.0	3358.0	2469.0	1965.0	1695.0	1532.0	2801.0	10400.0	525.0	1089881.0	1497742.976131
sub-0006	1907.0	3795.0	2613.0	2888.0	1955.0	5088.0	1866.0	2244.0	1443.0	959.0	3221.0	3057.0	945.0	2804.0	11301.0	17210.0	1716.0	2947.0	5748.0	2898.0	4727.0	6018.0	3592.0	5729.0	6039.0	7627.0	5444.0	4041.0	5695.0	6288.0	2342.0	1646.0	1146.0	5039.0	2221.0	2828.0	6475.0	8191.0	361.0	422.0	2017.0	3090.0	6374.0	3499.0	3746.0	1279.0	878.0	2305.0	2762.0	1747.0	863.0	2641.0	3224.0	5909.0	913.0	3560.0	1771.0	1736.0	749.0	1259.0	2923.0	609.0	891.0	2473.0	2950.0	1185.0	4992.0	1942.0	1982.0	1530.0	1895.0	2443.0	9004.0	665.0	1281422.0	1441004.6407
sub-0007	1895.0	2520.0	2627.0	2845.0	2187.0	4293.0	1371.0	1885.0	1299.0	678.0	2857.0	2707.0	1313.0	2376.0	7854.0	15650.0	1278.0	2238.0	4407.0	2234.0	3845.0	4308.0	4073.0	4793.0	5473.0	4332.0	5409.0	3194.0	3990.0	4756.0	2212.0	273.0	885.0	4187.0	1237.0	1062.0	5842.0	5831.0	369.0	452.0	1069.0	2582.0	4334.0	2246.0	2869.0	932.0	634.0	1538.0	1930.0	1687.0	542.0	2902.0	2352.0	3737.0	233.0	3569.0	989.0	1435.0	1400.0	1198.0	2343.0	551.0	847.0	1911.0	2554.0	727.0	3041.0	1817.0	1160.0	974.0	1212.0	2205.0	8308.0	496.0	916439.0	927712.749474
sub-0008	2004.0	2941.0	3007.0	3974.0	1726.0	5477.0	2466.0	2681.0	1987.0	672.0	3283.0	3769.0	1118.0	2944.0	10245.0	20968.0	1747.0	2335.0	5523.0	3207.0	5213.0	4880.0	5283.0	7098.0	6181.0	9028.0	6035.0	4198.0	6489.0	6763.0	3198.0	1813.0	887.0	6266.0	2274.0	2438.0	8595.0	7966.0	417.0	570.0	1550.0	2822.0	6628.0	2891.0	3436.0	1655.0	1167.0	2511.0	2783.0	1937.0	737.0	3042.0	2244.0	4525.0	959.0	5715.0	1622.0	1995.0	1173.0	1389.0	3434.0	462.0	1086.0	2812.0	3640.0	1780.0	5579.0	2406.0	2543.0	1361.0	1763.0	2887.0	9057.0	811.0	1254394.0	1604284.294118
sub-0009	1550.0	2441.0	2660.0	2444.0	922.0	3349.0	2141.0	2271.0	1468.0	449.0	2289.0	2818.0	984.0	2116.0	7667.0	15514.0	1557.0	1949.0	3615.0	1436.0	3952.0	4576.0	2890.0	4809.0	5190.0	5365.0	4070.0	2748.0	4154.0	5017.0	2921.0	891.0	1048.0	4716.0	1209.0	1368.0	4548.0	5418.0	505.0	537.0	1365.0	2272.0	4034.0	2360.0	2536.0	1259.0	884.0	2026.0	2330.0	1460.0	578.0	2568.0	985.0	3425.0	352.0	3509.0	943.0	1813.0	825.0	1516.0	2819.0	402.0	885.0	1962.0	2136.0	1272.0	3418.0	2012.0	1183.0	784.0	1500.0	1902.0	7952.0	488.0	919357.0	924942.844516
sub-0010	2430.0	3682.0	2849.0	3176.0	1819.0	4580.0	1789.0	2359.0	1689.0	594.0	3006.0	3496.0	1095.0	2271.0	10927.0	17639.0	1790.0	2189.0	4248.0	2680.0	3769.0	5974.0	4705.0	6089.0	5566.0	6198.0	5554.0	3896.0	6071.0	5615.0	2224.0	517.0	1119.0	5962.0	2395.0	2004.0	6748.0	7945.0	404.0	735.0	1499.0	3435.0	5677.0	2863.0	3874.0	1331.0	976.0	1886.0	2489.0	1744.0	707.0	3085.0	2116.0	5187.0	781.0	4138.0	1090.0	1453.0	1039.0	1224.0	3255.0	741.0	877.0	2638.0	2971.0	1007.0	3511.0	2804.0	2171.0	1074.0	1324.0	2824.0	9625.0	527.0	1115137.0	1332963.907826
