rh.aparc.volume	rh_bankssts_volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_frontalpole_volume	rh_temporalpole_volume	rh_transversetemporal_volume	rh_insula_volume	BrainSegVolNotVent	eTIV
sub-0001	2400.0	2453.0	5478.0	3761.0	1834.0	8246.0	16299.0	10554.0	3050.0	14814.0	8373.0	8866.0	6210.0	14637.0	1984.0	4473.0	4521.0	3545.0	5672.0	2404.0	8652.0	3558.0	12662.0	11973.0	2172.0	16341.0	23947.0	12574.0	13912.0	12599.0	1059.0	2725.0	1033.0	8310.0	1235952.0	1560838.764254
sub-0002	1890.0	1997.0	5223.0	3251.0	1827.0	8861.0	12865.0	9826.0	2705.0	12322.0	7059.0	7657.0	6321.0	12023.0	2088.0	4016.0	3567.0	2335.0	4648.0	2364.0	7670.0	2819.0	11895.0	9756.0	1875.0	14886.0	21533.0	12119.0	10932.0	10049.0	1156.0	2323.0	1022.0	7305.0	1056970.0	1115228.151399
sub-0003	2081.0	1695.0	5260.0	2113.0	1987.0	8008.0	13051.0	7870.0	2457.0	8314.0	6724.0	4723.0	5291.0	10724.0	1983.0	3355.0	3340.0	3001.0	3345.0	1521.0	6636.0	2579.0	13083.0	9143.0	1743.0	12139.0	19472.0	10908.0	9779.0	8154.0	1065.0	2317.0	818.0	6326.0	945765.0	1186697.257955
sub-0004	1935.0	1879.0	4542.0	3237.0	2717.0	8482.0	11826.0	8747.0	2116.0	10380.0	7292.0	5412.0	5642.0	9092.0	1286.0	4103.0	3066.0	2797.0	3715.0	1937.0	6504.0	2922.0	10956.0	8930.0	1453.0	14666.0	19855.0	11266.0	9780.0	8835.0	1294.0	2262.0	829.0	6240.0	973916.0	952776.991909
sub-0005	2205.0	2015.0	6716.0	2778.0	2031.0	7890.0	12535.0	9465.0	2515.0	11630.0	8527.0	6908.0	5875.0	12355.0	2080.0	3875.0	3419.0	3141.0	4046.0	2003.0	8202.0	3568.0	13044.0	10462.0	2054.0	17830.0	22148.0	12563.0	11232.0	9840.0	1073.0	2370.0	911.0	7432.0	1089881.0	1497742.976131
sub-0006	2407.0	2132.0	7095.0	3807.0	2120.0	8874.0	15896.0	10255.0	2981.0	15210.0	8258.0	7366.0	6182.0	14516.0	2226.0	3556.0	3377.0	2757.0	4452.0	2749.0	9143.0	3089.0	13607.0	10893.0	2085.0	16494.0	22594.0	13106.0	11105.0	9708.0	1435.0	2650.0	852.0	7634.0	1281422.0	1441004.6407
sub-0007	2498.0	2041.0	4630.0	2752.0	2238.0	7459.0	10498.0	6474.0	1861.0	10472.0	6300.0	6315.0	5345.0	8682.0	1729.0	3755.0	2975.0	2389.0	3264.0	1796.0	8368.0	2917.0	9401.0	8880.0	1782.0	13695.0	20162.0	11768.0	9304.0	9030.0	1451.0	2182.0	714.0	5928.0	916439.0	927712.749474
sub-0008	1927.0	2257.0	6438.0	3620.0	3189.0	11490.0	14001.0	11810.0	2827.0	17220.0	8613.0	6582.0	6906.0	11542.0	2421.0	3995.0	3434.0	2648.0	4897.0	2006.0	9807.0	4175.0	14164.0	11417.0	2518.0	16442.0	26768.0	13752.0	12267.0	13362.0	1499.0	2517.0	1077.0	8759.0	1254394.0	1604284.294118
sub-0009	2011.0	1754.0	4653.0	2308.0	1645.0	6488.0	11282.0	7541.0	1759.0	10043.0	6922.0	5480.0	5097.0	9116.0	1725.0	3736.0	2964.0	2313.0	3288.0	1950.0	7118.0	3269.0	10061.0	7596.0	1367.0	10920.0	19190.0	9012.0	9477.0	8840.0	957.0	2240.0	634.0	6249.0	919357.0	924942.844516
sub-0010	2402.0	1951.0	7033.0	3154.0	2109.0	9783.0	15419.0	11013.0	2631.0	11868.0	8026.0	7947.0	6373.0	12048.0	2266.0	3728.0	3648.0	3219.0	2751.0	2044.0	8596.0	3583.0	15269.0	10073.0	1849.0	17642.0	22334.0	12488.0	11548.0	8227.0	1409.0	2225.0	715.0	6972.0	1115137.0	1332963.907826
