Measure:mean	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus-Proper	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus-Proper	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior
sub-0001	30.4424	52.6	83.0076	57.3846	84.7959	72.8685	81.1578	97.4589	34.5748	25.3463	81.8757	63.5509	61.9445	40.2492	66.5006	88.3956	56.2656	48.8014	28.5302	51.6641	83.8511	56.3968	83.4105	73.2118	79.4707	95.4147	61.6673	59.3949	69.9261	87.5914	56.0909	49.7318	0.0	67.5291	0.0	0.0	0.0	0.0	0.0	65.3704	102.8736	94.4872	93.2036	90.7227	103.2781
sub-0002	28.827	48.0347	82.6729	54.3767	84.9835	72.293	79.0865	97.211	30.3537	20.1619	81.1553	63.196	58.187	37.8749	66.9006	86.7015	54.7	51.1787	24.0009	41.1897	83.5929	53.9627	85.123	72.3202	78.2975	97.5999	60.8731	56.4466	67.5531	86.7203	58.5714	50.8353	0.0	68.7105	0.0	0.0	0.0	0.0	0.0	62.4375	104.542	88.6126	92.243	96.4092	104.5426
sub-0003	23.2589	34.583	83.5143	54.4103	86.5078	73.371	79.4488	98.4345	29.6545	18.81	82.6875	59.7414	59.7745	38.7002	69.298	89.9065	57.8182	47.9738	20.9743	33.1364	84.4415	53.4649	84.4318	71.8101	77.8479	97.4844	59.3766	58.3218	69.5477	89.9678	61.6	44.9558	0.0	68.897	0.0	0.0	0.0	0.0	0.0	70.3867	106.427	87.135	93.1151	98.4415	105.6472
sub-0004	22.24	30.2044	83.198	55.9216	81.3278	69.0879	79.0874	94.7533	29.2143	20.2504	81.3423	58.4785	55.2248	37.5539	63.7177	85.8369	49.1613	49.184	22.0315	35.6616	83.6441	54.1442	79.833	68.6316	77.9406	94.4097	57.7312	53.2738	65.241	85.1327	50.6	46.9444	0.0	55.9291	0.0	0.0	0.0	0.0	0.0	63.7917	99.6988	89.7379	95.1229	94.8569	102.9988
sub-0005	19.7382	39.0402	84.4453	56.7795	82.4961	68.1422	76.2857	92.1052	29.7823	21.0609	81.5701	59.233	55.1184	38.8233	63.2005	86.8048	53.7	47.9233	18.2369	26.4895	84.6269	55.4776	80.0069	67.4251	75.3222	90.9761	57.3961	56.1426	64.2051	86.2302	53.3103	47.2252	0.0	67.4862	0.0	0.0	0.0	0.0	0.0	64.1897	98.0454	86.4268	92.1581	92.4826	99.4166
sub-0006	22.4444	38.1778	84.2265	55.052	84.7817	69.0843	76.9219	95.3857	31.8589	20.3344	82.076	59.6327	57.338	36.0233	64.2575	87.5256	55.9844	46.4505	23.4277	32.342	83.5527	53.6522	82.8934	68.9561	74.7831	92.5289	58.2762	56.1289	66.7345	87.5544	52.2593	45.9758	0.0	67.4338	0.0	0.0	0.0	0.0	0.0	68.0943	101.2769	91.1992	94.8433	97.9873	103.0639
sub-0007	17.8387	38.917	81.5923	52.1964	82.4849	67.4043	75.9444	93.5905	25.3534	16.3061	82.4551	55.6233	53.3951	35.0257	63.2516	87.1185	61.0769	47.7032	16.4885	38.2018	82.2402	51.908	80.8073	67.8051	75.6011	92.6642	55.2426	53.6401	65.4073	86.2521	58.5385	44.4428	0.0	66.4143	0.0	0.0	0.0	0.0	0.0	65.6638	99.2177	82.8975	88.9187	91.4084	101.2427
sub-0008	27.2311	45.2788	83.1203	53.8089	84.4227	71.1356	77.5787	93.2065	32.1289	20.1616	80.4614	60.6563	57.9767	38.7495	66.2469	87.4692	57.0714	48.0447	29.5168	34.7273	82.1384	51.5427	82.7998	70.3583	76.003	92.1495	57.138	56.753	65.927	85.6751	56.5	51.006	0.0	66.4651	0.0	0.0	0.0	0.0	0.0	65.9167	102.2468	93.907	91.7444	95.7475	99.7439
sub-0009	31.4717	42.6446	82.6196	53.0037	87.0495	71.4739	74.9872	96.9087	33.8692	15.4527	79.8462	59.2653	55.172	35.1142	63.5672	88.1994	52.5	53.6559	23.7321	43.9672	83.4421	52.2413	82.1376	69.9315	74.2664	96.4334	56.662	53.8267	64.7899	89.0586	55.2308	49.4251	0.0	69.5117	0.0	0.0	0.0	0.0	0.0	64.3884	106.3799	91.6454	92.2812	98.3853	103.9258
sub-0010	18.9898	39.6392	85.1294	57.6799	81.0145	68.2017	77.2516	92.576	22.9964	23.7368	81.615	58.34	55.7993	30.4916	62.5631	86.6668	57.8571	48.8029	17.9035	32.9562	83.544	54.6452	78.5663	66.826	74.4929	90.14	55.1428	54.3823	63.7708	85.2513	57.4286	47.0989	0.0	66.8119	0.0	0.0	0.0	0.0	0.0	64.2253	101.1313	87.9934	93.9177	98.3466	102.5424
