name	volume	thickness	area	meancurv
Left-bankssts	2990.0	2.906	1061.0	0.10400000000000001
Left-caudalanteriorcingulate	1593.0	2.6719999999999997	576.0	0.134
Left-caudalmiddlefrontal	7880.0	2.7689999999999997	2581.0	0.11199999999999999
Left-cuneus	3436.0	2.251	1268.0	0.142
Left-entorhinal	2605.0	3.412	488.0	0.121
Left-fusiform	12816.0	3.011	3581.0	0.132
Left-inferiorparietal	14083.0	2.707	4623.0	0.115
Left-inferiortemporal	14269.0	2.984	3785.0	0.126
Left-isthmuscingulate	3393.0	2.781	1137.0	0.127
Left-lateraloccipital	15509.0	2.351	5888.0	0.131
Left-lateralorbitofrontal	8386.0	2.748	2745.0	0.134
Left-lingual	8902.0	2.293	3529.0	0.138
Left-medialorbitofrontal	6301.0	2.62	2000.0	0.128
Left-middletemporal	13660.0	2.8810000000000002	3764.0	0.127
Left-parahippocampal	2222.0	2.967	606.0	0.092
Left-paracentral	4107.0	2.642	1399.0	0.09699999999999999
Left-parsopercularis	5838.0	2.717	1888.0	0.114
Left-parsorbitalis	2762.0	2.576	766.0	0.139
Left-parstriangularis	4912.0	2.5660000000000003	1642.0	0.115
Left-pericalcarine	2412.0	1.837	1486.0	0.113
Left-postcentral	9512.0	2.193	3805.0	0.111
Left-posteriorcingulate	3306.0	2.826	1120.0	0.135
Left-precentral	15088.0	2.722	5047.0	0.10400000000000001
Left-precuneus	10260.0	2.5469999999999997	3595.0	0.125
Left-rostralanteriorcingulate	2383.0	2.984	777.0	0.124
Left-rostralmiddlefrontal	17442.0	2.53	6010.0	0.138
Left-superiorfrontal	26836.0	2.8360000000000003	8164.0	0.121
Left-superiorparietal	16351.0	2.39	6116.0	0.126
Left-superiortemporal	13992.0	2.986	3985.0	0.1
Left-supramarginal	11829.0	2.843	3761.0	0.114
Left-frontalpole	967.0	2.4290000000000003	286.0	0.155
Left-temporalpole	2861.0	3.931	417.0	0.151
Left-transversetemporal	1361.0	3.056	403.0	0.121
Left-insula	7650.0	3.398	2164.0	0.11199999999999999
BrainSegVolNotVent	1251487.0	1251487.0	90457.8	1251487.0
eTIV	1453753.118797	1453753.118797	1251487.0	1453753.118797
