onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0099	4.2955000000000005	control	4.2955000000000005	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
15.018	0.7963999999999984	control	0.7963999999999984	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
20.0262	0.9480000000000004	control	0.9480000000000004	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
25.0344	0.6485999999999983	control	0.6485999999999983	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
30.0426	0.5762	control	0.5762	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
35.0507	0.5469000000000008	control	0.5469000000000008	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
40.0589	2.1794999999999973	emotion	2.1794999999999973	right	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
45.0671	4.373999999999995	emotion	4.373999999999995	left	incorrect	n/a	male	black	black	black	anger
50.0752	1.456799999999994	emotion	1.456799999999994	left	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
55.0834	1.5733999999999995	emotion	1.5733999999999995	right	incorrect	n/a	male	black	black	black	fear
60.0916	1.6340000000000003	emotion	1.6340000000000003	right	incorrect	n/a	male	caucasian	caucasian	caucasian	anger
65.0998	1.7065999999999946	emotion	1.7065999999999946	left	incorrect	n/a	female	asian	black	asian	fear
70.1079	0.9963999999999942	control	0.9963999999999942	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
75.1161	0.7950000000000017	control	0.7950000000000017	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
80.1243	1.9924999999999926	control	1.9924999999999926	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
85.1325	0.7962000000000131	control	0.7962000000000131	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
90.1406	0.6618999999999886	control	0.6618999999999886	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
95.1488	0.5795000000000101	control	0.5795000000000101	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
100.157	2.4221000000000004	emotion	2.4221000000000004	left	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
105.1652	2.446700000000007	emotion	2.446700000000007	right	incorrect	n/a	male	black	black	black	anger
110.1733	2.598399999999998	emotion	2.598399999999998	left	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
115.1815	1.2219999999999942	emotion	1.2219999999999942	left	incorrect	n/a	male	black	black	black	fear
120.1897	1.7206000000000046	emotion	1.7206000000000046	right	incorrect	n/a	male	caucasian	caucasian	caucasian	fear
125.1978	3.084300000000013	emotion	3.084300000000013	right	incorrect	n/a	female	asian	black	asian	anger
130.206	0.943000000000012	control	0.943000000000012	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
135.2142	0.8275999999999897	control	0.8275999999999897	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
140.2224	0.7032000000000096	control	0.7032000000000096	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
145.2305	0.5489000000000033	control	0.5489000000000033	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
150.2387	0.7715000000000032	control	0.7715000000000032	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
155.2469	1.2430999999999983	control	1.2430999999999983	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
160.2551	1.546699999999987	emotion	1.546699999999987	right	incorrect	n/a	male	caucasian	caucasian	caucasian	anger
165.2632	2.443399999999997	emotion	2.443399999999997	right	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
170.2714	2.938999999999993	emotion	2.938999999999993	left	incorrect	n/a	male	black	black	black	anger
175.2796	1.5446000000000026	emotion	1.5446000000000026	left	correct	n/a	female	black	asian	asian	anger
180.2878	1.4741999999999962	emotion	1.4741999999999962	left	incorrect	n/a	male	caucasian	caucasian	white	fear
185.2959	1.2899000000000171	emotion	1.2899000000000171	left	incorrect	n/a	female	asian	asian	black	fear
190.3041	0.6925999999999988	control	0.6925999999999988	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
195.3123	0.668200000000013	control	0.668200000000013	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
200.3204	0.8409000000000049	control	0.8409000000000049	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
205.3286	1.5235000000000127	control	1.5235000000000127	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
210.3368	0.683099999999996	control	0.683099999999996	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
215.345	0.6877000000000066	control	0.6877000000000066	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
220.3531	1.63839999999999	emotion	1.63839999999999	left	incorrect	n/a	male	caucasian	caucasian	caucasian	fear
225.3613	2.531000000000006	emotion	2.531000000000006	right	incorrect	n/a	female	black	asian	asian	fear
230.3695	1.299599999999998	emotion	1.299599999999998	left	incorrect	n/a	male	caucasian	caucasian	caucasian	anger
235.3777	1.6602000000000032	emotion	1.6602000000000032	right	incorrect	n/a	male	black	black	black	fear
240.3858	1.6149000000000058	emotion	1.6149000000000058	right	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
245.394	1.224599999999981	emotion	1.224599999999981	left	incorrect	n/a	female	asian	asian	black	anger
