onset	duration	trial_type	response_accuracy	response_time	response_hand
8.0365	6	active_change	correct	1.5829000000000004	right
20.0528	6	active_change	correct	1.5351999999999997	right
26.061	6	active_nochange	incorrect	1.9056999999999995	right
36.0773	6	passive	n/a	2.110999999999997	right
42.0855	6	active_change	correct	1.2986999999999966	right
52.1018	6	active_nochange	incorrect	1.9939000000000036	right
60.1182	6	active_change	incorrect	1.8941999999999979	left
66.1264	6	active_nochange	correct	1.4147999999999996	left
72.1345	6	active_change	correct	1.3575000000000017	right
78.1426	6	active_change	miss	n/a	left
86.159	6	active_nochange	correct	1.197499999999991	left
92.1672	6	active_nochange	correct	1.4320000000000022	left
100.1836	6	active_nochange	correct	1.8113000000000028	left
106.1917	6	passive	n/a	1.5280000000000058	left
112.1999	6	active_change	incorrect	1.5896000000000043	left
118.208	6	active_nochange	correct	1.6452000000000027	left
126.2244	6	passive	n/a	1.416499999999985	right
134.2408	6	active_nochange	correct	1.8298000000000059	left
140.249	6	active_nochange	correct	1.3384000000000071	left
150.2653	6	active_nochange	incorrect	1.6136999999999944	right
156.2735	6	passive	n/a	1.3602999999999952	right
162.2816	6	passive	n/a	1.4509999999999934	right
172.298	6	active_change	incorrect	1.678200000000004	left
180.3144	6	active_change	correct	1.8194000000000017	right
188.3308	6	active_nochange	correct	1.2727999999999895	left
194.3389	6	active_change	incorrect	1.7204000000000121	left
204.3553	6	passive	n/a	1.4346999999999923	left
210.3634	6	active_nochange	correct	1.4782999999999902	left
216.3716	6	active_change	correct	1.4808999999999912	right
222.3797	6	active_change	correct	1.3795999999999822	right
228.3878	6	active_nochange	correct	1.6151999999999873	left
238.4042	6	active_change	correct	1.7143999999999835	right
244.4123	6	active_change	correct	1.2192000000000007	right
252.4287	6	active_change	incorrect	1.3974000000000046	left
258.4369	6	active_change	correct	1.1949999999999932	right
264.445	6	active_nochange	correct	1.3616999999999848	left
272.4614	6	passive	n/a	1.3959999999999582	left
280.4778	6	passive	n/a	2.127200000000016	left
296.494	6	active_nochange	correct	1.537399999999991	left
302.5021	6	active_nochange	incorrect	1.5090999999999894	right
