lh.aparc.a2009s.area	lh_G&S_frontomargin_area	lh_G&S_occipital_inf_area	lh_G&S_paracentral_area	lh_G&S_subcentral_area	lh_G&S_transv_frontopol_area	lh_G&S_cingul-Ant_area	lh_G&S_cingul-Mid-Ant_area	lh_G&S_cingul-Mid-Post_area	lh_G_cingul-Post-dorsal_area	lh_G_cingul-Post-ventral_area	lh_G_cuneus_area	lh_G_front_inf-Opercular_area	lh_G_front_inf-Orbital_area	lh_G_front_inf-Triangul_area	lh_G_front_middle_area	lh_G_front_sup_area	lh_G_Ins_lg&S_cent_ins_area	lh_G_insular_short_area	lh_G_occipital_middle_area	lh_G_occipital_sup_area	lh_G_oc-temp_lat-fusifor_area	lh_G_oc-temp_med-Lingual_area	lh_G_oc-temp_med-Parahip_area	lh_G_orbital_area	lh_G_pariet_inf-Angular_area	lh_G_pariet_inf-Supramar_area	lh_G_parietal_sup_area	lh_G_postcentral_area	lh_G_precentral_area	lh_G_precuneus_area	lh_G_rectus_area	lh_G_subcallosal_area	lh_G_temp_sup-G_T_transv_area	lh_G_temp_sup-Lateral_area	lh_G_temp_sup-Plan_polar_area	lh_G_temp_sup-Plan_tempo_area	lh_G_temporal_inf_area	lh_G_temporal_middle_area	lh_Lat_Fis-ant-Horizont_area	lh_Lat_Fis-ant-Vertical_area	lh_Lat_Fis-post_area	lh_Pole_occipital_area	lh_Pole_temporal_area	lh_S_calcarine_area	lh_S_central_area	lh_S_cingul-Marginalis_area	lh_S_circular_insula_ant_area	lh_S_circular_insula_inf_area	lh_S_circular_insula_sup_area	lh_S_collat_transv_ant_area	lh_S_collat_transv_post_area	lh_S_front_inf_area	lh_S_front_middle_area	lh_S_front_sup_area	lh_S_interm_prim-Jensen_area	lh_S_intrapariet&P_trans_area	lh_S_oc_middle&Lunatus_area	lh_S_oc_sup&transversal_area	lh_S_occipital_ant_area	lh_S_oc-temp_lat_area	lh_S_oc-temp_med&Lingual_area	lh_S_orbital_lateral_area	lh_S_orbital_med-olfact_area	lh_S_orbital-H_Shaped_area	lh_S_parieto_occipital_area	lh_S_pericallosal_area	lh_S_postcentral_area	lh_S_precentral-inf-part_area	lh_S_precentral-sup-part_area	lh_S_suborbital_area	lh_S_subparietal_area	lh_S_temporal_inf_area	lh_S_temporal_sup_area	lh_S_temporal_transverse_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-0001	840.0	1336.0	1108.0	1170.0	754.0	1319.0	800.0	858.0	488.0	297.0	1397.0	1219.0	369.0	1213.0	2734.0	5641.0	508.0	537.0	1733.0	1296.0	1106.0	2151.0	813.0	1823.0	1961.0	2472.0	1939.0	1438.0	1617.0	2046.0	730.0	379.0	277.0	1524.0	571.0	820.0	1996.0	2720.0	257.0	378.0	911.0	1280.0	1102.0	1757.0	1965.0	815.0	510.0	1004.0	1488.0	688.0	408.0	1738.0	1149.0	1925.0	165.0	2208.0	728.0	1006.0	484.0	769.0	1650.0	441.0	478.0	853.0	1644.0	936.0	2149.0	961.0	1126.0	523.0	708.0	1367.0	5377.0	321.0	93268.2	1235952.0	1560838.764254
sub-0002	765.0	1326.0	1144.0	960.0	456.0	1276.0	781.0	981.0	327.0	207.0	1536.0	1011.0	330.0	904.0	2681.0	4859.0	422.0	391.0	1555.0	743.0	1248.0	2052.0	720.0	1559.0	2001.0	1939.0	1863.0	1630.0	1387.0	1659.0	596.0	292.0	270.0	1376.0	457.0	896.0	2149.0	2012.0	200.0	405.0	806.0	1373.0	1016.0	1598.0	1858.0	664.0	308.0	863.0	1188.0	770.0	358.0	1615.0	720.0	1775.0	305.0	2001.0	849.0	867.0	552.0	527.0	1415.0	167.0	392.0	842.0	1368.0	690.0	1967.0	1011.0	887.0	608.0	504.0	1177.0	4169.0	252.0	82827.5	1056970.0	1115228.151399
sub-0003	795.0	727.0	998.0	859.0	429.0	1323.0	706.0	734.0	445.0	171.0	1032.0	738.0	280.0	660.0	2482.0	4016.0	325.0	339.0	1170.0	717.0	1123.0	1364.0	921.0	1280.0	1698.0	1630.0	1581.0	1217.0	1484.0	1966.0	544.0	582.0	258.0	1131.0	483.0	559.0	1714.0	1610.0	198.0	137.0	660.0	983.0	1044.0	1304.0	1751.0	628.0	349.0	786.0	878.0	785.0	156.0	1229.0	748.0	1846.0	177.0	1828.0	512.0	803.0	607.0	488.0	1129.0	160.0	389.0	746.0	1040.0	575.0	1336.0	1049.0	805.0	420.0	693.0	991.0	3516.0	193.0	71032.3	945765.0	1186697.257955
sub-0004	585.0	890.0	924.0	810.0	483.0	1066.0	639.0	795.0	294.0	173.0	1128.0	934.0	344.0	946.0	2193.0	3958.0	422.0	347.0	1224.0	808.0	868.0	1591.0	962.0	1377.0	1265.0	1541.0	1822.0	1053.0	1271.0	1890.0	548.0	351.0	317.0	1034.0	359.0	671.0	1660.0	1681.0	213.0	193.0	742.0	1283.0	1084.0	1259.0	1553.0	717.0	255.0	764.0	1032.0	877.0	231.0	1303.0	817.0	1509.0	90.0	1823.0	626.0	683.0	511.0	624.0	1259.0	206.0	360.0	876.0	1457.0	492.0	1537.0	873.0	769.0	476.0	582.0	945.0	3523.0	197.0	70964.4	973916.0	952776.991909
sub-0005	900.0	1003.0	1030.0	912.0	481.0	1362.0	806.0	1006.0	486.0	203.0	1509.0	803.0	243.0	726.0	3374.0	4799.0	407.0	434.0	1737.0	1019.0	1023.0	2128.0	817.0	1702.0	1843.0	1537.0	1914.0	1393.0	1470.0	1836.0	600.0	363.0	286.0	1252.0	423.0	637.0	1568.0	1688.0	263.0	165.0	728.0	1211.0	1056.0	1749.0	1993.0	858.0	317.0	1016.0	1061.0	570.0	335.0	1623.0	1019.0	1867.0	149.0	2549.0	826.0	879.0	639.0	540.0	1459.0	304.0	458.0	1150.0	1326.0	761.0	1785.0	1071.0	965.0	452.0	742.0	1300.0	4191.0	242.0	83339.6	1089881.0	1497742.976131
sub-0006	836.0	1539.0	920.0	1005.0	639.0	1626.0	805.0	879.0	433.0	255.0	1450.0	829.0	213.0	809.0	3495.0	4726.0	452.0	583.0	1881.0	1039.0	1533.0	2409.0	964.0	1564.0	1906.0	2382.0	2001.0	1683.0	1563.0	1870.0	650.0	625.0	372.0	1367.0	605.0	1091.0	1809.0	2008.0	176.0	220.0	986.0	1657.0	1252.0	2118.0	2271.0	679.0	346.0	965.0	1292.0	869.0	547.0	1391.0	1485.0	2432.0	410.0	1962.0	1113.0	953.0	402.0	648.0	1318.0	390.0	413.0	1045.0	1532.0	803.0	2474.0	915.0	1056.0	590.0	891.0	1372.0	4248.0	351.0	92389.1	1281422.0	1441004.6407
sub-0007	667.0	910.0	825.0	831.0	490.0	1246.0	543.0	619.0	320.0	246.0	1436.0	716.0	341.0	709.0	2418.0	3986.0	366.0	357.0	1540.0	1058.0	1109.0	1821.0	955.0	1251.0	1627.0	1293.0	1976.0	1262.0	1120.0	1480.0	536.0	88.0	263.0	1182.0	356.0	418.0	1584.0	1441.0	220.0	221.0	551.0	1333.0	1026.0	1249.0	1669.0	514.0	219.0	683.0	886.0	755.0	363.0	1352.0	1054.0	1502.0	106.0	1896.0	618.0	875.0	560.0	612.0	1022.0	282.0	303.0	715.0	1338.0	474.0	1581.0	872.0	566.0	416.0	626.0	1025.0	3530.0	247.0	70646.3	916439.0	927712.749474
sub-0008	823.0	919.0	1072.0	1293.0	529.0	1647.0	1039.0	1007.0	468.0	224.0	1561.0	930.0	271.0	887.0	3022.0	6134.0	456.0	434.0	1704.0	1272.0	1412.0	2019.0	1140.0	1786.0	1883.0	2683.0	2087.0	1645.0	1853.0	2263.0	830.0	496.0	242.0	1341.0	503.0	722.0	2069.0	2005.0	224.0	287.0	769.0	1258.0	1460.0	1662.0	1928.0	784.0	414.0	990.0	1283.0	816.0	377.0	1502.0	978.0	1982.0	536.0	3041.0	943.0	1070.0	566.0	572.0	1573.0	237.0	489.0	989.0	1699.0	834.0	2730.0	1075.0	1183.0	501.0	788.0	1318.0	3797.0	333.0	93660.6	1254394.0	1604284.294118
sub-0009	681.0	925.0	1032.0	780.0	324.0	1118.0	744.0	883.0	400.0	145.0	1111.0	827.0	276.0	689.0	2669.0	4781.0	391.0	367.0	1341.0	699.0	1063.0	1843.0	697.0	1447.0	1786.0	1632.0	1703.0	1180.0	1132.0	1681.0	801.0	247.0	313.0	1178.0	314.0	528.0	1318.0	1391.0	276.0	267.0	697.0	1163.0	922.0	1463.0	1550.0	687.0	376.0	846.0	1064.0	537.0	338.0	1294.0	589.0	1664.0	155.0	1972.0	599.0	1036.0	393.0	691.0	1190.0	254.0	430.0	877.0	1063.0	772.0	1785.0	951.0	597.0	436.0	657.0	984.0	3216.0	200.0	72425.8	919357.0	924942.844516
sub-0010	889.0	1076.0	1025.0	1030.0	472.0	1477.0	757.0	834.0	411.0	173.0	1348.0	995.0	252.0	687.0	3236.0	5009.0	473.0	431.0	1273.0	1025.0	1031.0	2433.0	1026.0	1502.0	1672.0	1882.0	2038.0	1501.0	1744.0	1826.0	613.0	141.0	371.0	1423.0	601.0	627.0	1756.0	1860.0	189.0	321.0	765.0	1395.0	1242.0	1825.0	2216.0	686.0	341.0	820.0	1050.0	770.0	347.0	1540.0	1112.0	2257.0	398.0	2266.0	608.0	846.0	495.0	623.0	1385.0	299.0	387.0	1008.0	1503.0	593.0	1829.0	1212.0	1076.0	437.0	648.0	1283.0	4143.0	264.0	85094.3	1115137.0	1332963.907826
