onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0103	2.3862999999999985	control	2.3862999999999985	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
15.0185	0.8481000000000005	control	0.8481000000000005	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
20.0267	0.7346999999999966	control	0.7346999999999966	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
25.0349	0.6723999999999997	control	0.6723999999999997	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
30.0432	0.7988999999999997	control	0.7988999999999997	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
35.0514	0.5895999999999972	control	0.5895999999999972	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
40.0596	0.7691999999999979	emotion	0.7691999999999979	right	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
45.0678	0.8149000000000015	emotion	0.8149000000000015	left	incorrect	n/a	male	black	black	black	anger
50.076	0.7325000000000017	emotion	0.7325000000000017	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
55.0843	1.7950000000000017	emotion	1.7950000000000017	right	incorrect	n/a	male	black	black	black	fear
60.0925	0.8607000000000014	emotion	0.8607000000000014	right	incorrect	n/a	male	caucasian	caucasian	caucasian	anger
65.1007	0.6573999999999955	emotion	0.6573999999999955	left	incorrect	n/a	female	asian	black	asian	fear
70.1089	0.5449999999999875	control	0.5449999999999875	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
75.1171	0.5177000000000049	control	0.5177000000000049	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
80.1253	0.5893999999999977	control	0.5893999999999977	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
85.1336	0.6248999999999967	control	0.6248999999999967	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
90.1418	0.5805999999999898	control	0.5805999999999898	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
95.15	0.6081999999999965	control	0.6081999999999965	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
100.1582	0.6719000000000079	emotion	0.6719000000000079	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1664	0.8295000000000101	emotion	0.8295000000000101	right	incorrect	n/a	male	black	black	black	anger
110.1746	0.7822000000000031	emotion	0.7822000000000031	left	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
115.1829	0.7817000000000007	emotion	0.7817000000000007	left	incorrect	n/a	male	black	black	black	fear
120.1911	0.6524000000000001	emotion	0.6524000000000001	right	incorrect	n/a	male	caucasian	caucasian	caucasian	fear
125.1993	0.6290000000000049	emotion	0.6290000000000049	right	incorrect	n/a	female	asian	black	asian	anger
130.2075	0.5486999999999966	control	0.5486999999999966	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
135.2157	0.4584000000000117	control	0.4584000000000117	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
140.2239	0.37300000000001887	control	0.37300000000001887	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
145.2322	0.4294999999999902	control	0.4294999999999902	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
150.2404	0.5091999999999928	control	0.5091999999999928	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
155.2486	0.5697999999999865	control	0.5697999999999865	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
160.2568	1.17349999999999	emotion	1.17349999999999	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.265	1.1751000000000147	emotion	1.1751000000000147	right	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
170.2733	0.9576999999999884	emotion	0.9576999999999884	left	incorrect	n/a	male	black	black	black	anger
175.2815	1.1213000000000193	emotion	1.1213000000000193	left	correct	n/a	female	black	asian	asian	anger
180.2897	1.1619999999999777	emotion	1.1619999999999777	left	incorrect	n/a	male	caucasian	caucasian	white	fear
185.2979	0.8366000000000042	emotion	0.8366000000000042	left	incorrect	n/a	female	asian	asian	black	fear
190.3061	0.5743000000000222	control	0.5743000000000222	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
195.3143	0.47299999999998477	control	0.47299999999998477	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
200.3226	0.5964999999999918	control	0.5964999999999918	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
205.3308	0.4661999999999864	control	0.4661999999999864	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
210.339	0.6137999999999977	control	0.6137999999999977	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
215.3472	0.44950000000000045	control	0.44950000000000045	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
220.3554	1.0270999999999901	emotion	1.0270999999999901	left	incorrect	n/a	male	caucasian	caucasian	caucasian	fear
225.3636	0.795800000000014	emotion	0.795800000000014	right	incorrect	n/a	female	black	asian	asian	fear
230.3719	0.6722999999999786	emotion	0.6722999999999786	left	incorrect	n/a	male	caucasian	caucasian	caucasian	anger
235.3801	0.7249999999999943	emotion	0.7249999999999943	right	incorrect	n/a	male	black	black	black	fear
240.3883	0.8706999999999994	emotion	0.8706999999999994	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.3965	1.1392999999999915	emotion	1.1392999999999915	left	incorrect	n/a	female	asian	asian	black	anger
