name	intensity-avg	volume
Left-wm-bankssts	98.4318	2536.4
Left-wm-caudalanteriorcingulate	100.9485	1843.2
Left-wm-caudalmiddlefrontal	96.3089	5397.8
Left-wm-cuneus	94.1069	2356.9
Left-wm-entorhinal	77.5239	639.6
Left-wm-fusiform	90.8219	5819.0
Left-wm-inferiorparietal	96.941	7331.8
Left-wm-inferiortemporal	89.1606	5223.0
Left-wm-isthmuscingulate	102.9126	3079.8
Left-wm-lateraloccipital	94.3487	7343.5
Left-wm-lateralorbitofrontal	95.0612	5816.5
Left-wm-lingual	90.2334	4440.7
Left-wm-medialorbitofrontal	93.7203	3022.7
Left-wm-middletemporal	89.2173	4657.7
Left-wm-parahippocampal	87.6822	1434.3
Left-wm-paracentral	93.54899999999999	3301.9
Left-wm-parsopercularis	95.0481	3205.5
Left-wm-parsorbitalis	83.6167	889.6
Left-wm-parstriangularis	95.85600000000001	2658.1
Left-wm-pericalcarine	92.8076	3192.0
Left-wm-postcentral	91.1904	6244.5
Left-wm-posteriorcingulate	102.3408	3895.0
Left-wm-precentral	94.1515	10911.9
Left-wm-precuneus	98.84100000000001	7146.8
Left-wm-rostralanteriorcingulate	101.5255	1982.7
Left-wm-rostralmiddlefrontal	95.8967	9677.3
Left-wm-superiorfrontal	93.2536	15727.3
Left-wm-superiorparietal	96.6984	10868.9
Left-wm-superiortemporal	93.2592	7559.0
Left-wm-supramarginal	96.2464	8310.3
Left-wm-frontalpole	87.5519	211.8
Left-wm-temporalpole	74.8813	614.2
Left-wm-transversetemporal	96.2821	736.1
Left-wm-insula	95.1563	8584.6
Right-wm-bankssts	97.0456	2229.8
Right-wm-caudalanteriorcingulate	102.2065	1945.1
Right-wm-caudalmiddlefrontal	92.9065	4181.6
Right-wm-cuneus	94.0213	2293.2
Right-wm-entorhinal	77.445	768.5
Right-wm-fusiform	89.2919	5639.5
Right-wm-inferiorparietal	95.0862	9099.1
Right-wm-inferiortemporal	86.6281	4826.7
Right-wm-isthmuscingulate	102.6953	2808.1
Right-wm-lateraloccipital	93.4161	8961.5
Right-wm-lateralorbitofrontal	94.8611	5495.4
Right-wm-lingual	89.6474	4634.3
Right-wm-medialorbitofrontal	96.4551	3144.4
Right-wm-middletemporal	84.1284	4986.1
Right-wm-parahippocampal	87.21	1463.5
Right-wm-paracentral	95.1582	3979.4
Right-wm-parsopercularis	93.2044	2475.5
Right-wm-parsorbitalis	85.5897	1194.3
Right-wm-parstriangularis	92.9795	2700.5
Right-wm-pericalcarine	90.9666	2808.5
Right-wm-postcentral	89.5175	6566.5
Right-wm-posteriorcingulate	101.0021	3262.7
Right-wm-precentral	93.9392	11526.8
Right-wm-precuneus	98.8207	7426.1
Right-wm-rostralanteriorcingulate	107.9669	1456.1
Right-wm-rostralmiddlefrontal	94.4933	11893.2
Right-wm-superiorfrontal	92.7003	13935.1
Right-wm-superiorparietal	94.54299999999999	9683.0
Right-wm-superiortemporal	87.6371	6401.6
Right-wm-supramarginal	96.1327	7993.8
Right-wm-frontalpole	86.1713	303.1
Right-wm-temporalpole	75.7845	675.4
Right-wm-transversetemporal	92.6253	484.3
Right-wm-insula	93.2367	7871.2
Left-UnsegmentedWhiteMatter	103.9019	28391.6
Right-UnsegmentedWhiteMatter	103.3533	26579.3
