name	volume	thickness	area	meancurv
Left-G&S_frontomargin	1929.0	1.949	988.0	0.131
Left-G&S_occipital_inf	2647.0	2.156	1126.0	0.134
Left-G&S_paracentral	2599.0	2.177	1040.0	0.11699999999999999
Left-G&S_subcentral	3479.0	2.577	1154.0	0.139
Left-G&S_transv_frontopol	1600.0	2.441	513.0	0.162
Left-G&S_cingul-Ant	4567.0	2.582	1672.0	0.121
Left-G&S_cingul-Mid-Ant	2116.0	2.639	829.0	0.122
Left-G&S_cingul-Mid-Post	2486.0	2.69	838.0	0.11699999999999999
Left-G_cingul-Post-dorsal	2299.0	2.86	625.0	0.153
Left-G_cingul-Post-ventral	810.0	2.532	258.0	0.136
Left-G_cuneus	3696.0	1.891	1728.0	0.155
Left-G_front_inf-Opercular	3784.0	2.655	1094.0	0.129
Left-G_front_inf-Orbital	1384.0	2.638	374.0	0.16
Left-G_front_inf-Triangul	2849.0	2.6060000000000003	846.0	0.147
Left-G_front_middle	10150.0	2.498	3252.0	0.141
Left-G_front_sup	17382.0	2.9560000000000004	4593.0	0.128
Left-G_Ins_lg&S_cent_ins	1534.0	3.245	456.0	0.12
Left-G_insular_short	2492.0	3.7260000000000004	493.0	0.11699999999999999
Left-G_occipital_middle	4347.0	2.43	1482.0	0.152
Left-G_occipital_sup	2847.0	2.064	1186.0	0.139
Left-G_oc-temp_lat-fusifor	4358.0	2.596	1299.0	0.133
Left-G_oc-temp_med-Lingual	5510.0	2.134	2044.0	0.15
Left-G_oc-temp_med-Parahip	3913.0	3.057	894.0	0.10800000000000001
Left-G_orbital	6276.0	2.6660000000000004	1723.0	0.151
Left-G_pariet_inf-Angular	5267.0	2.459	1742.0	0.139
Left-G_pariet_inf-Supramar	8201.0	2.6460000000000004	2600.0	0.13699999999999998
Left-G_parietal_sup	5728.0	2.1590000000000003	2140.0	0.13
Left-G_postcentral	3078.0	1.87	1375.0	0.115
Left-G_precentral	5646.0	2.9210000000000003	1456.0	0.10400000000000001
Left-G_precuneus	5950.0	2.234	2154.0	0.133
Left-G_rectus	2265.0	2.627	631.0	0.15
Left-G_subcallosal	1098.0	2.804	363.0	0.083
Left-G_temp_sup-G_T_transv	665.0	2.396	229.0	0.10400000000000001
Left-G_temp_sup-Lateral	5046.0	2.765	1346.0	0.14400000000000002
Left-G_temp_sup-Plan_polar	1811.0	3.077	505.0	0.05
Left-G_temp_sup-Plan_tempo	2357.0	2.521	897.0	0.136
Left-G_temporal_inf	7322.0	2.656	2181.0	0.138
Left-G_temporal_middle	6720.0	2.803	1762.0	0.158
Left-Lat_Fis-ant-Horizont	403.0	2.4290000000000003	162.0	0.11699999999999999
Left-Lat_Fis-ant-Vertical	506.0	2.077	258.0	0.10300000000000001
Left-Lat_Fis-post	1673.0	2.378	863.0	0.124
Left-Pole_occipital	3128.0	1.722	1664.0	0.135
Left-Pole_temporal	4881.0	2.967	1223.0	0.153
Left-S_calcarine	2683.0	1.92	1666.0	0.12300000000000001
Left-S_central	3341.0	1.9380000000000002	1882.0	0.087
Left-S_cingul-Marginalis	1933.0	2.351	889.0	0.08800000000000001
Left-S_circular_insula_ant	731.0	2.742	315.0	0.08
Left-S_circular_insula_inf	2197.0	2.798	924.0	0.09300000000000001
Left-S_circular_insula_sup	2363.0	2.492	1148.0	0.098
Left-S_collat_transv_ant	2150.0	2.6239999999999997	727.0	0.126
Left-S_collat_transv_post	603.0	2.062	336.0	0.146
Left-S_front_inf	3942.0	2.198	1913.0	0.111
Left-S_front_middle	2618.0	2.077	1277.0	0.129
Left-S_front_sup	4449.0	2.354	1952.0	0.113
Left-S_interm_prim-Jensen	315.0	2.467	129.0	0.102
Left-S_intrapariet&P_trans	4032.0	1.995	2168.0	0.106
Left-S_oc_middle&Lunatus	1687.0	1.899	1001.0	0.127
Left-S_oc_sup&transversal	1894.0	1.974	1077.0	0.129
Left-S_occipital_ant	675.0	2.0709999999999997	336.0	0.135
Left-S_oc-temp_lat	1907.0	2.485	700.0	0.12
Left-S_oc-temp_med&Lingual	3634.0	2.356	1563.0	0.11199999999999999
Left-S_orbital_lateral	410.0	1.8780000000000001	227.0	0.12
Left-S_orbital_med-olfact	1102.0	2.417	478.0	0.115
Left-S_orbital-H_Shaped	1941.0	2.291	815.0	0.11699999999999999
Left-S_parieto_occipital	2129.0	1.956	1146.0	0.126
Left-S_pericallosal	1179.0	1.969	842.0	0.121
Left-S_postcentral	3965.0	1.9140000000000001	2109.0	0.107
Left-S_precentral-inf-part	2320.0	2.447	1024.0	0.096
Left-S_precentral-sup-part	1781.0	2.424	827.0	0.091
Left-S_suborbital	1028.0	2.385	472.0	0.114
Left-S_subparietal	2472.0	2.241	1209.0	0.106
Left-S_temporal_inf	2028.0	2.404	970.0	0.11699999999999999
Left-S_temporal_sup	8405.0	2.299	3888.0	0.1
Left-S_temporal_transverse	377.0	2.685	188.0	0.131
BrainSegVolNotVent	1127888.0	1127888.0	88252.2	1127888.0
eTIV	1625399.1116290002	1625399.1116290002	1127888.0	1625399.1116290002
