name	volume	thickness	area	meancurv
Left-bankssts	2401.0	2.78	897.0	0.10400000000000001
Left-caudalanteriorcingulate	1623.0	2.7939999999999996	592.0	0.131
Left-caudalmiddlefrontal	6002.0	2.65	2084.0	0.11800000000000001
Left-cuneus	3229.0	2.0269999999999997	1533.0	0.157
Left-entorhinal	2235.0	3.31	507.0	0.126
Left-fusiform	9595.0	2.7089999999999996	3110.0	0.14300000000000002
Left-inferiorparietal	13544.0	2.7119999999999997	4419.0	0.127
Left-inferiortemporal	14214.0	2.852	4027.0	0.138
Left-isthmuscingulate	2652.0	2.7460000000000004	880.0	0.135
Left-lateraloccipital	12135.0	2.364	4739.0	0.142
Left-lateralorbitofrontal	8670.0	2.787	2574.0	0.142
Left-lingual	7065.0	2.171	3048.0	0.14400000000000002
Left-medialorbitofrontal	5415.0	2.7310000000000003	1702.0	0.126
Left-middletemporal	11901.0	2.742	3420.0	0.133
Left-parahippocampal	2311.0	2.964	656.0	0.095
Left-paracentral	3581.0	2.481	1341.0	0.08900000000000001
Left-parsopercularis	5130.0	2.688	1669.0	0.129
Left-parsorbitalis	2183.0	2.7430000000000003	607.0	0.15
Left-parstriangularis	3908.0	2.428	1409.0	0.134
Left-pericalcarine	1928.0	1.71	1256.0	0.129
Left-postcentral	9555.0	2.037	4155.0	0.11900000000000001
Left-posteriorcingulate	3509.0	2.918	1088.0	0.15
Left-precentral	13341.0	2.662	4513.0	0.11699999999999999
Left-precuneus	10559.0	2.503	3900.0	0.125
Left-rostralanteriorcingulate	3336.0	3.387	805.0	0.14400000000000002
Left-rostralmiddlefrontal	15983.0	2.4459999999999997	5363.0	0.138
Left-superiorfrontal	23282.0	2.8939999999999997	6752.0	0.128
Left-superiorparietal	13659.0	2.1630000000000003	5741.0	0.12
Left-superiortemporal	13984.0	2.9589999999999996	3881.0	0.114
Left-supramarginal	10791.0	2.7	3618.0	0.13699999999999998
Left-frontalpole	944.0	2.488	266.0	0.153
Left-temporalpole	2818.0	3.4410000000000003	530.0	0.154
Left-transversetemporal	1616.0	2.8339999999999996	532.0	0.127
Left-insula	7693.0	3.37	2278.0	0.109
BrainSegVolNotVent	1099919.0	1099919.0	83871.8	1099919.0
eTIV	1400353.421911	1400353.421911	1099919.0	1400353.421911
