onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	sex	ethn_target	ethn_match	ethn_distractor	emo_match
10.0125	4.165000000000001	control	4.165000000000001	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
15.0207	2.7487000000000013	control	2.7487000000000013	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
20.0289	0.7273999999999994	control	0.7273999999999994	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
25.0371	0.8940000000000019	control	0.8940000000000019	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
30.0453	0.7535999999999987	control	0.7535999999999987	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
35.0534	0.5783999999999949	control	0.5783999999999949	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
40.0616	1.6670000000000016	emotion	1.6670000000000016	right	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
45.0698	1.2886000000000024	emotion	1.2886000000000024	left	incorrect	n/a	male	black	black	black	anger
50.078	1.181199999999997	emotion	1.181199999999997	left	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
55.0862	0.9568000000000012	emotion	0.9568000000000012	right	incorrect	n/a	male	black	black	black	fear
60.0944	1.2085000000000008	emotion	1.2085000000000008	right	incorrect	n/a	male	caucasian	caucasian	caucasian	anger
65.1026	0.9581000000000017	emotion	0.9581000000000017	right	correct	n/a	female	asian	black	asian	fear
70.1108	0.9086999999999961	control	0.9086999999999961	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
75.119	1.1093000000000046	control	1.1093000000000046	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
80.1272	1.188999999999993	control	1.188999999999993	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
85.1353	2.291700000000006	control	2.291700000000006	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
90.1435	0.9063000000000017	control	0.9063000000000017	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
95.1517	0.8748999999999967	control	0.8748999999999967	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
100.1599	1.0915999999999997	emotion	1.0915999999999997	left	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
105.1681	0.9172000000000082	emotion	0.9172000000000082	right	incorrect	n/a	male	black	black	black	anger
110.1763	2.0848000000000013	emotion	2.0848000000000013	left	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
115.1845	1.3494000000000028	emotion	1.3494000000000028	left	incorrect	n/a	male	black	black	black	fear
120.1927	1.089100000000002	emotion	1.089100000000002	right	incorrect	n/a	male	caucasian	caucasian	caucasian	fear
125.2008	1.3487999999999971	emotion	1.3487999999999971	left	correct	n/a	female	asian	black	asian	anger
130.209	0.8533999999999935	control	0.8533999999999935	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
135.2172	1.1820000000000164	control	1.1820000000000164	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
140.2254	1.5716999999999928	control	1.5716999999999928	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
145.2336	0.922300000000007	control	0.922300000000007	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
150.2418	0.8038999999999987	control	0.8038999999999987	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
155.25	0.8814999999999884	control	0.8814999999999884	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
160.2582	1.4942000000000064	emotion	1.4942000000000064	right	incorrect	n/a	male	caucasian	caucasian	caucasian	anger
165.2664	1.7398000000000025	emotion	1.7398000000000025	right	incorrect	n/a	female	caucasian	caucasian	caucasian	fear
170.2745	1.822400000000016	emotion	1.822400000000016	left	incorrect	n/a	male	black	black	black	anger
175.2827	2.3811000000000035	emotion	2.3811000000000035	right	incorrect	n/a	female	black	asian	asian	anger
180.2909	1.3577999999999975	emotion	1.3577999999999975	left	incorrect	n/a	male	caucasian	caucasian	white	fear
185.2991	1.5033999999999992	emotion	1.5033999999999992	left	incorrect	n/a	female	asian	asian	black	fear
190.3073	0.7800000000000011	control	0.7800000000000011	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
195.3155	0.9956000000000245	control	0.9956000000000245	left	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
200.3237	0.7492000000000019	control	0.7492000000000019	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
205.3319	0.8969000000000165	control	0.8969000000000165	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
210.3401	0.7094999999999914	control	0.7094999999999914	right	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
215.3482	0.7562000000000069	control	0.7562000000000069	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
220.3564	1.7398000000000025	emotion	1.7398000000000025	left	incorrect	n/a	male	caucasian	caucasian	caucasian	fear
225.3646	1.4325000000000045	emotion	1.4325000000000045	right	incorrect	n/a	female	black	asian	asian	fear
230.3728	1.8079999999999927	emotion	1.8079999999999927	left	incorrect	n/a	male	caucasian	caucasian	caucasian	anger
235.381	0.9067000000000007	emotion	0.9067000000000007	right	incorrect	n/a	male	black	black	black	fear
240.3892	1.43040000000002	emotion	1.43040000000002	right	incorrect	n/a	female	caucasian	caucasian	caucasian	anger
245.3974	13.43549999999999	emotion	13.43549999999999	left	incorrect	n/a	female	asian	asian	black	anger
